idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,530.5,0.747,0.359,30.34,6.69,0.312,0.0783,0.5708,,1
1,15.2,0.145,0.771,-99.78,14.35,-0.2871,0.168,0.1061,,0
2,8.1,0.571,0.754,-105.46,14.03,-0.3205,0.1643,0.2438,,0
3,257.8,0.561,0.681,-95.46,12.67,-0.5297,0.1484,0.0983,,0
4,245.5,-0.227,0.673,-96.58,12.52,-0.5657,0.1466,0.0674,,0
5,623.2,1.009,0.314,38.31,5.84,0.2838,0.0683,0.635,,1
6,523.5,0.536,0.369,31.0,6.86,0.3223,0.0804,0.5257,,1
7,18.0,0.754,0.8,-117.15,14.89,-0.511,0.1743,0.2107,,0
8,278.3,-0.262,0.44,31.51,8.18,0.2725,0.0958,0.3882,,1
9,533.0,-1.201,0.421,31.58,7.83,0.3415,0.0917,0.364,,1
10,11.0,0.601,0.966,-117.92,17.99,-0.6631,0.2106,0.084,,0
11,613.6,1.247,0.364,38.32,6.78,0.3205,0.0793,0.5205,,1
12,542.6,0.145,0.555,20.27,10.33,0.194,0.1209,0.2585,,0
13,540.1,-1.049,0.397,36.08,7.4,0.3193,0.0866,0.4164,,1
14,620.7,1.321,0.379,30.35,7.05,0.3943,0.0826,0.4833,,1
15,8.5,1.115,0.818,-100.53,15.22,0.0595,0.1783,0.0529,,0
16,150.5,1.704,0.65,-47.68,12.1,0.1773,0.1416,0.2558,,0
17,549.7,-0.876,0.643,17.8,11.98,0.2369,0.1402,0.4994,,1
18,151.4,-0.837,1.008,-75.31,18.76,0.191,0.2197,0.0531,,0
19,351.4,-0.896,0.692,24.3,12.87,0.3008,0.1507,0.0523,,0
20,547.2,-1.209,0.41,37.4,7.63,0.2916,0.0893,0.3658,,1
21,6.4,1.305,0.844,-56.67,15.71,0.1326,0.184,0.0199,,0
22,566.3,0.39,0.335,39.5,6.24,0.2796,0.073,0.5871,,1
23,13.5,1.165,0.844,-54.6,15.71,0.133,0.1839,0.0471,,0
24,345.0,-0.622,0.557,43.85,10.37,0.5855,0.1214,0.2103,,0
25,284.8,1.323,1.396,-179.87,25.99,-0.6782,0.3043,0.1875,,0
26,625.7,1.109,0.309,48.04,5.76,0.397,0.0674,0.6285,,1
27,169.7,1.665,0.667,-57.01,12.41,0.1531,0.1454,0.2114,,0
28,1.4,0.724,0.811,-106.52,15.1,-0.4886,0.1768,0.1642,,0
29,554.2,-0.021,0.878,26.05,16.35,0.3096,0.1914,0.2315,,0
30,556.7,0.495,0.414,30.04,7.72,0.28,0.0903,0.4921,,1
31,43.9,2.259,1.043,-94.96,19.41,-0.3028,0.2272,0.0659,,0
32,3.9,0.018,0.966,-116.42,17.98,-0.5022,0.2105,0.0843,,0
33,1.1,0.939,0.862,-102.92,16.05,-0.4012,0.1879,0.0616,,0
34,160.1,1.504,0.666,-51.79,12.4,0.178,0.1452,0.199,,0
35,181.3,1.485,0.584,-50.98,10.87,0.1306,0.1273,0.2387,,0
36,287.9,-0.581,0.437,20.5,8.14,0.3038,0.0954,0.4973,,1
37,157.6,1.133,0.71,-39.86,13.21,0.2357,0.1547,0.1567,,0
38,618.6,0.838,0.368,47.65,6.84,0.3948,0.0801,0.5501,,1
39,176.7,1.731,0.673,-57.69,12.53,0.1528,0.1467,0.2222,,0
40,242.3,2.225,0.856,-140.0,15.94,-0.2421,0.1866,0.1362,,0
41,516.4,0.002,0.435,26.46,8.09,0.3396,0.0948,0.3681,,1
42,36.8,2.877,1.148,-91.16,21.37,-0.2293,0.2502,0.1104,,0
43,341.0,0.134,0.663,45.54,12.34,0.4584,0.1445,0.1279,,0
44,50.9,1.72,1.156,-93.21,21.53,-0.2467,0.252,0.1061,,0
45,630.3,1.169,0.303,41.08,5.64,0.2454,0.066,0.64,,1
46,5.6,0.752,0.81,-105.5,15.08,-0.4891,0.1765,0.1848,,0
47,27.6,2.164,0.947,-132.5,17.62,-0.6372,0.2063,0.0681,,0
48,162.6,1.583,0.714,-61.59,13.29,0.2132,0.1556,0.2796,,0
49,294.9,-0.158,0.617,30.35,11.49,0.3236,0.1345,0.2258,,0
50,302.0,-0.447,0.567,40.06,10.55,0.2485,0.1236,0.097,,0
51,361.0,-1.19,0.418,17.2,7.79,0.057,0.0912,0.4329,,1
52,232.8,1.45,0.705,-151.09,13.13,-0.3378,0.1537,0.2329,,0
53,230.3,2.057,0.71,-145.9,13.21,-0.2764,0.1547,0.0894,,0
54,190.8,0.851,0.629,-46.72,11.7,0.2242,0.137,0.2671,,0
55,604.1,1.471,0.416,28.59,7.74,0.3141,0.0907,0.4555,,1
56,616.1,0.897,0.342,39.52,6.36,0.2949,0.0744,0.5793,,1
57,153.9,-0.513,0.948,-55.42,17.65,0.3083,0.2067,0.1105,,0
58,377.1,-0.591,0.575,19.11,10.7,0.0174,0.1253,0.5192,,1
59,167.2,2.185,0.64,-56.97,11.9,0.2638,0.1394,0.1912,,0
60,223.2,2.138,0.816,-150.67,15.19,-0.3078,0.1779,0.2325,,0
61,635.3,2.609,0.47,26.12,8.75,0.3759,0.1025,0.301,,0
62,304.5,-0.649,0.448,27.54,8.35,0.2676,0.0977,0.4833,,1
63,34.3,1.294,0.843,-96.18,15.7,-0.1698,0.1838,0.1282,,0
64,217.0,1.675,0.829,-87.35,15.43,0.2717,0.1807,0.246,,0
65,158.5,-0.853,0.949,-69.53,17.67,0.0966,0.2069,0.0687,,0
66,27.3,1.058,0.867,-96.44,16.14,-0.0923,0.189,0.1151,,0
67,248.7,1.195,0.688,-104.13,12.8,-0.5686,0.1499,0.0635,,0
68,216.1,2.384,1.069,-147.61,19.89,-0.3792,0.2329,0.0698,,0
69,358.5,-0.32,0.749,8.29,13.94,-0.0858,0.1633,0.3139,,0
70,288.8,0.8,1.379,-170.07,25.67,-0.6511,0.3006,0.1062,,0
71,179.2,1.657,0.714,-64.98,13.29,0.1044,0.1556,0.2599,,0
72,370.1,-0.509,0.688,19.55,12.81,0.1745,0.15,0.1224,,0
73,643.0,0.198,0.697,52.66,12.98,0.5737,0.152,0.3869,,1
74,161.0,-0.974,0.913,-57.29,16.99,0.1196,0.1989,0.191,,0
75,207.5,1.225,0.541,-49.24,10.08,0.0521,0.118,0.22,,0
76,153.0,1.59,0.663,-50.12,12.34,0.1624,0.1445,0.2538,,0
77,537.6,-0.206,0.608,35.83,11.31,0.2267,0.1324,0.1511,,0
78,265.8,-0.479,0.665,-94.0,12.38,-0.4758,0.145,0.1065,,0
79,209.1,1.238,0.71,-145.5,13.22,-0.302,0.1548,0.2461,,0
80,526.0,-0.872,0.541,50.52,10.06,0.4607,0.1178,0.2518,,0
81,261.7,1.148,0.72,-106.49,13.4,-0.4838,0.1569,0.0803,,0
82,377.6,-1.283,0.673,22.72,12.53,0.2269,0.1468,0.3894,,1
83,206.6,2.464,0.905,-139.72,16.85,-0.2864,0.1973,0.0597,,0
84,690.8,0.052,0.378,33.78,7.04,0.0196,0.0824,0.6083,,1
85,253.1,0.295,0.668,-92.39,12.43,-0.4002,0.1455,0.1016,,0
86,368.0,-0.945,0.391,15.81,7.28,0.0466,0.0853,0.4714,,1
87,288.8,0.407,0.566,20.99,10.53,0.2887,0.1233,0.3696,,1
88,225.7,1.515,0.7,-154.32,13.04,-0.3451,0.1527,0.2668,,0
89,0.6,0.994,0.887,-60.89,16.51,0.2079,0.1933,0.0265,,0
90,22.3,1.02,0.833,-102.24,15.51,-0.5038,0.1816,0.2531,,0
91,606.6,1.34,0.429,37.66,7.99,0.3159,0.0935,0.3902,,1
92,630.7,1.374,0.648,36.61,12.07,0.2736,0.1413,0.4715,,1
93,563.8,-0.798,0.392,43.92,7.29,0.2633,0.0854,0.4283,,1
94,697.9,0.349,0.389,33.16,7.24,0.0193,0.0847,0.6085,,1
95,31.8,1.354,0.863,-99.06,16.06,-0.2686,0.188,0.0996,,0
96,186.3,1.758,0.7,-66.53,13.03,0.1378,0.1526,0.253,,0
97,174.2,0.842,0.634,-42.69,11.8,0.0234,0.1382,0.1937,,0
98,143.5,1.578,0.666,-44.09,12.39,0.1412,0.1451,0.2458,,0
99,314.1,-0.182,0.497,25.05,9.26,0.3086,0.1084,0.3895,,1
100,311.6,-0.748,0.444,29.15,8.27,0.2165,0.0968,0.457,,1
101,239.8,1.112,0.649,-153.46,12.09,-0.3125,0.1415,0.2309,,0
102,200.4,1.369,0.537,-54.0,9.99,0.0182,0.117,0.2673,,0
103,344.3,-0.753,0.393,13.29,7.32,0.0008,0.0857,0.5081,,1
104,148.0,2.4,0.806,-66.32,14.99,0.2392,0.1756,0.073,,0
105,370.5,-0.872,0.576,30.12,10.73,0.1589,0.1256,0.2827,,0
106,628.2,2.071,0.367,41.98,6.83,0.4287,0.08,0.5195,,1
107,632.8,1.345,0.309,48.07,5.74,0.332,0.0673,0.6093,,1
108,705.0,0.825,0.457,16.95,8.51,0.3025,0.0996,0.3921,,1
109,700.4,0.092,0.368,33.24,6.86,0.127,0.0803,0.5841,,1
110,170.5,-0.62,1.034,-58.91,19.25,0.3081,0.2254,0.1928,,0
111,155.1,1.74,0.872,-63.57,16.23,0.2417,0.19,0.0108,,0
112,172.2,1.347,0.835,-60.51,15.55,0.0984,0.1821,0.113,,0
113,11.7,0.057,1.189,-69.91,22.13,0.0098,0.2591,0.0985,,0
114,237.3,1.736,0.643,-153.95,11.97,-0.2029,0.1401,0.2206,,0
115,18.7,0.792,1.209,-62.15,22.51,-0.054,0.2636,0.1043,,0
116,297.4,-0.675,0.457,19.96,8.5,0.3044,0.0995,0.5042,,1
117,249.4,1.335,0.92,-138.86,17.13,-0.3386,0.2006,0.1838,,0
