idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,228.3,0.479,0.634,35.57,11.91,0.261,0.1376,0.3283,,0
1,220.9,0.281,0.676,33.86,12.7,0.0464,0.1467,0.2522,,0
2,213.9,-0.032,0.691,26.33,12.97,0.0015,0.1499,0.3272,,0
3,207.2,-0.056,0.657,18.43,12.35,-0.0469,0.1426,0.3131,,0
4,200.9,-0.189,0.652,7.65,12.24,0.0003,0.1414,0.2708,,0
5,194.6,0.945,0.786,10.45,14.77,0.0624,0.1706,0.1133,,0
6,188.7,0.777,0.79,15.18,14.84,0.1888,0.1714,0.1182,,0
7,183.3,0.002,0.834,3.08,15.67,-0.0951,0.181,0.1221,,0
8,178.5,-0.195,1.047,24.19,19.67,0.0348,0.2272,0.1207,,0
9,251.0,0.596,0.692,40.19,12.99,0.0456,0.1501,0.0736,,0
10,242.6,0.36,0.742,41.96,13.94,0.2135,0.1611,0.1028,,0
11,234.4,0.768,0.688,66.83,12.91,0.4101,0.1492,0.1872,,0
12,226.2,0.247,0.756,55.05,14.2,0.5208,0.164,0.2245,,0
13,218.2,0.643,0.673,28.19,12.64,0.1742,0.146,0.2803,,0
14,210.5,0.121,0.659,30.15,12.38,0.2838,0.143,0.3317,,0
15,203.1,0.304,0.656,25.48,12.33,0.063,0.1425,0.2125,,0
16,196.1,-0.393,0.678,22.88,12.73,-0.1024,0.1471,0.2824,,0
17,189.5,-0.017,0.717,3.63,13.47,-0.136,0.1556,0.3853,,1
18,183.1,1.076,0.864,6.36,16.23,-0.0051,0.1875,0.1249,,0
19,176.9,0.306,0.801,5.01,15.05,0.2271,0.1739,0.1201,,0
20,171.1,0.51,1.055,-14.88,19.82,-0.1106,0.2289,0.1897,,0
21,165.9,-0.013,1.106,17.11,20.78,0.1493,0.2401,0.1269,,0
22,157.3,-0.567,1.189,21.05,22.33,-0.2394,0.2579,0.1433,,0
23,151.5,0.2,0.991,21.44,18.61,-0.1104,0.215,0.1578,,0
24,255.6,0.458,0.724,63.77,13.61,0.564,0.1572,0.0491,,0
25,251.9,0.606,0.7,55.65,13.16,0.4101,0.152,0.0992,,0
26,248.3,0.961,0.826,46.16,15.52,0.546,0.1792,0.0661,,0
27,242.2,0.496,0.725,44.49,13.62,0.2628,0.1574,0.0985,,0
28,233.5,-0.372,0.846,43.68,15.89,0.4085,0.1835,0.0321,,0
29,225.1,-0.019,0.851,61.43,15.98,0.8228,0.1846,0.1319,,0
30,216.8,-0.112,0.744,55.9,13.98,0.3898,0.1615,0.32,,0
31,208.6,0.351,0.655,35.3,12.3,0.4591,0.142,0.2892,,0
32,200.5,0.37,0.63,27.77,11.84,0.3559,0.1368,0.3009,,0
33,192.8,0.041,0.76,29.83,14.28,0.177,0.165,0.1043,,0
34,185.3,0.495,0.897,18.75,16.84,0.3341,0.1946,0.0549,,0
35,171.7,0.836,0.821,-5.95,15.42,-0.143,0.1781,0.2047,,0
36,165.4,0.605,0.875,-10.44,16.43,0.0399,0.1898,0.0679,,0
37,159.2,0.421,0.993,0.34,18.64,0.0407,0.2154,0.2553,,0
38,153.6,-0.289,0.919,-2.8,17.26,0.1825,0.1994,0.0457,,0
39,140.7,-0.275,1.147,42.38,21.54,-0.0242,0.2488,0.0448,,0
40,133.2,2.052,0.903,20.54,16.96,-0.2894,0.1959,0.122,,0
41,133.2,2.239,0.869,9.45,16.31,-0.3107,0.1885,0.0729,,0
42,251.2,0.279,0.697,71.07,13.09,0.4625,0.1512,0.1424,,0
43,246.7,0.331,0.652,76.94,12.24,0.5003,0.1414,0.1198,,0
44,242.5,0.627,0.717,64.09,13.47,0.4948,0.1556,0.0482,,0
45,238.8,0.734,0.733,50.38,13.76,0.4455,0.159,0.1124,,0
46,235.1,1.236,0.849,38.4,15.94,0.5756,0.1842,0.1948,,0
47,231.5,1.303,0.867,32.48,16.29,0.1411,0.1881,0.0837,,0
48,225.0,-0.159,0.773,41.43,14.53,0.416,0.1678,0.1294,,0
49,216.2,-0.818,0.942,40.57,17.69,0.3436,0.2043,0.1064,,0
50,207.6,-0.372,0.817,46.63,15.35,0.4204,0.1773,0.1122,,0
51,199.3,0.055,0.785,48.49,14.74,0.4687,0.1702,0.029,,0
52,191.0,-0.154,0.861,31.48,16.18,0.3078,0.1869,0.2415,,0
53,182.9,-0.153,1.048,25.55,19.68,0.5013,0.2274,0.1049,,0
54,167.6,-0.253,0.85,3.28,15.97,-0.1289,0.1845,0.1639,,0
55,127.4,-0.739,1.251,12.83,23.5,-0.0452,0.2715,0.0553,,0
56,122.2,0.057,1.111,29.23,20.86,-0.0439,0.241,0.0354,,0
57,120.4,1.186,1.012,32.81,19.01,0.2471,0.2196,0.2117,,0
58,119.4,1.703,0.89,10.53,16.72,-0.2995,0.1932,0.1359,,0
59,120.4,2.155,0.952,5.56,17.87,-0.0979,0.2065,0.1575,,0
60,122.4,1.028,1.029,29.08,19.33,0.2317,0.2233,0.1272,,0
61,243.7,0.249,0.979,68.71,18.4,0.5768,0.2125,0.0336,,0
62,238.7,0.571,0.868,77.0,16.3,0.4703,0.1883,0.1361,,0
63,233.9,0.237,0.729,74.36,13.7,0.6459,0.1582,0.0971,,0
64,229.6,1.118,0.812,63.61,15.24,0.6631,0.1761,0.1113,,0
65,225.6,1.526,0.891,50.65,16.74,0.0852,0.1934,0.1279,,0
66,218.4,2.011,1.071,43.37,20.12,0.3089,0.2325,0.0483,,0
67,214.9,1.589,0.915,39.21,17.19,0.2849,0.1986,0.1226,,0
68,207.8,0.155,1.052,52.99,19.75,0.3926,0.2282,0.3086,,0
69,173.5,-0.088,0.92,29.89,17.29,0.234,0.1997,0.2109,,0
70,149.8,0.778,1.013,14.57,19.03,-0.0859,0.2199,0.2504,,0
71,108.5,0.07,0.978,17.0,18.37,-0.0636,0.2123,0.1176,,0
72,106.6,0.528,0.895,22.21,16.82,-0.0646,0.1943,0.0662,,0
73,105.5,1.888,0.862,13.54,16.2,-0.2692,0.1871,0.2327,,0
74,105.5,1.944,1.0,10.31,18.79,-0.3617,0.217,0.1792,,0
75,106.6,2.479,0.917,5.42,17.23,-0.0267,0.199,0.0879,,0
76,108.9,1.452,0.982,12.67,18.45,-0.1074,0.2132,0.1528,,0
77,112.0,0.727,0.961,25.14,18.05,0.179,0.2085,0.1392,,0
78,241.8,-0.732,1.258,71.16,23.62,0.3052,0.2729,0.0608,,0
79,231.2,0.145,1.044,82.08,19.62,0.708,0.2266,0.0459,,0
80,226.3,0.805,0.911,72.46,17.1,0.5419,0.1976,0.0657,,0
81,221.4,-0.096,0.927,58.47,17.41,0.4591,0.2011,0.1004,,0
82,198.5,0.97,1.166,72.87,21.89,0.4765,0.2529,0.0188,,0
83,190.6,0.857,1.115,39.19,20.93,0.2491,0.2418,0.1653,,0
84,181.6,0.908,1.083,44.04,20.35,0.2739,0.235,0.1763,,0
85,172.8,-0.174,0.955,43.76,17.94,0.2823,0.2073,0.0906,,0
86,101.4,0.302,1.157,8.18,21.74,0.0194,0.2511,0.1079,,0
87,94.8,0.519,0.949,8.79,17.82,-0.1933,0.2059,0.1537,,0
88,92.9,-0.552,0.937,12.53,17.59,-0.1152,0.2032,0.1776,,0
89,91.6,2.258,0.835,12.6,15.68,-0.2745,0.1811,0.1144,,0
90,91.6,1.248,0.883,21.08,16.59,-0.1326,0.1916,0.1792,,0
91,92.9,2.6,0.988,-9.28,18.57,-0.1882,0.2145,0.1167,,0
92,95.5,2.291,0.965,10.77,18.13,-0.0639,0.2094,0.0374,,0
93,98.5,0.582,0.955,24.59,17.94,0.0561,0.2073,0.0956,,0
94,101.7,0.215,1.055,33.73,19.81,0.058,0.2288,0.1988,,0
95,236.1,0.121,1.306,55.81,24.53,0.5083,0.2833,0.0507,,0
96,218.8,0.251,1.087,79.04,20.42,0.6886,0.2359,0.2421,,0
97,213.8,1.127,1.12,39.96,21.03,0.2744,0.2429,0.131,,0
98,208.9,0.217,0.902,63.71,16.94,0.4551,0.1957,0.0873,,0
99,94.4,-0.567,0.978,28.55,18.38,0.1775,0.2123,0.1037,,0
100,88.8,0.226,1.043,42.53,19.58,0.3369,0.2262,0.1269,,0
101,79.2,0.89,0.844,12.11,15.84,-0.2965,0.183,0.0676,,0
102,77.7,0.693,0.975,9.49,18.31,-0.3145,0.2115,0.0869,,0
103,77.7,1.8,0.839,19.39,15.76,-0.3156,0.1821,0.0855,,0
104,79.3,1.638,1.019,20.15,19.15,0.0196,0.2212,0.0558,,0
105,82.2,2.53,1.004,25.26,18.85,-0.1161,0.2178,0.0702,,0
106,85.1,0.525,0.936,26.53,17.58,0.0333,0.2031,0.0947,,0
