idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,775.1,0.071,0.631,5.35,11.86,-0.208,0.1369,0.1848,,0
1,553.3,-1.33,0.45,7.2,8.46,-0.0004,0.0976,0.4978,,1
2,808.2,1.011,0.374,-3.01,7.03,0.1659,0.0811,0.4738,,1
3,566.6,-0.387,0.168,14.93,3.16,-0.0433,0.0364,0.8572,,1
4,168.9,0.668,0.45,5.36,8.46,-0.1705,0.0976,0.4306,,1
5,563.1,-0.486,0.132,3.35,2.49,-0.1204,0.0287,0.9106,,1
6,582.8,-0.278,0.358,0.64,6.74,-0.1957,0.0777,0.5602,,1
7,573.0,-0.561,0.275,3.38,5.17,-0.1266,0.0596,0.7129,,1
8,801.8,0.413,0.176,1.49,3.31,-0.1327,0.0382,0.8383,,1
9,157.2,1.015,0.48,3.14,9.03,-0.1195,0.1041,0.278,,0
10,830.8,0.077,0.347,30.17,6.52,-0.0317,0.0752,0.5632,,1
11,556.7,-0.498,0.13,1.6,2.44,-0.1145,0.0282,0.9129,,1
12,546.9,-0.464,0.572,-3.4,10.76,-0.1547,0.1241,0.5506,,1
13,569.6,-0.56,0.14,5.13,2.63,-0.1377,0.0303,0.9017,,1
14,579.4,-0.424,0.195,7.92,3.66,-0.1494,0.0422,0.826,,1
15,560.3,-0.317,0.352,-0.43,6.62,-0.1273,0.0764,0.6398,,1
16,589.2,-0.855,0.309,-2.1,5.81,-0.1859,0.067,0.6053,,1
17,550.4,-0.301,0.365,1.97,6.86,-0.0503,0.0792,0.4571,,1
18,145.9,1.812,0.426,-24.39,8.02,-0.3288,0.0925,0.4386,,1
19,811.1,-0.101,0.121,10.47,2.28,-0.0855,0.0263,0.921,,1
20,817.4,-0.07,0.147,10.02,2.76,-0.1182,0.0318,0.8852,,1
21,125.9,1.141,0.571,-17.88,10.75,-0.2032,0.124,0.6391,,1
22,807.6,-0.072,0.128,11.76,2.41,-0.1688,0.0278,0.9129,,1
23,417.3,0.155,0.441,-5.09,8.29,0.2571,0.0956,0.351,,1
24,551.7,0.42,0.228,4.5,4.29,-0.0107,0.0495,0.7712,,1
25,828.6,-0.517,0.388,-1.09,7.3,0.023,0.0842,0.5658,,1
26,801.2,-0.08,0.126,9.37,2.37,-0.1467,0.0273,0.9155,,1
27,548.9,0.279,0.114,13.2,2.15,-0.1113,0.0248,0.9348,,1
28,545.3,0.706,0.287,7.44,5.4,0.0643,0.0622,0.6325,,1
29,539.0,0.706,0.287,7.44,5.4,0.0643,0.0623,0.6323,,1
30,540.5,-1.171,0.538,9.51,10.12,-0.1467,0.1168,0.5149,,1
31,135.7,-0.135,0.158,-15.6,2.98,-0.2734,0.0343,0.8961,,1
32,797.7,-0.105,0.22,10.89,4.14,-0.1896,0.0478,0.788,,1
33,151.3,-0.927,0.192,-11.39,3.62,-0.3633,0.0417,0.8297,,1
34,804.7,-0.147,0.119,9.37,2.24,-0.0846,0.0258,0.9241,,1
35,552.0,-0.243,0.122,9.36,2.3,-0.1598,0.0265,0.9242,,1
36,558.7,0.057,0.128,11.39,2.41,-0.1161,0.0278,0.9202,,1
