idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,408.6,0.026,0.509,-123.86,9.53,-1.5502,0.1105,0.3679,,1
1,414.7,-0.408,0.571,-114.35,10.68,-1.6044,0.1239,0.3701,,1
2,406.7,-0.076,0.652,-106.09,12.19,-1.2097,0.1415,0.2693,,0
3,420.7,0.02,0.61,-116.51,11.42,-1.6375,0.1324,0.2167,,0
4,404.7,0.15,0.512,-116.73,9.57,-1.5274,0.111,0.4242,,1
5,400.7,1.12,0.741,-125.24,13.86,-1.1039,0.1608,0.1932,,0
6,394.7,-0.563,0.662,-101.97,12.37,-1.2589,0.1436,0.2,,0
7,410.7,0.192,0.516,-118.42,9.65,-1.5126,0.112,0.4152,,1
8,402.6,-0.748,0.801,-127.38,14.98,-1.4894,0.1738,0.0473,,0
9,416.7,0.059,0.522,-116.56,9.76,-1.4964,0.1133,0.3968,,1
10,398.6,-0.554,0.599,-115.76,11.2,-1.6416,0.13,0.2301,,0
11,388.6,-0.782,0.707,-100.86,13.23,-1.3738,0.1535,0.1454,,0
12,439.9,2.14,0.429,72.67,8.02,0.6863,0.093,0.3618,,1
13,433.9,1.85,0.478,77.98,8.94,0.7083,0.1037,0.3105,,0
14,187.3,1.859,0.423,30.63,7.9,0.5352,0.0917,0.3726,,1
15,412.8,0.58,0.66,-123.37,12.35,-1.5211,0.1433,0.2748,,0
16,426.7,0.276,0.579,-124.23,10.84,-1.5736,0.1257,0.2799,,0
17,390.7,0.216,0.622,-99.08,11.63,-1.4852,0.1349,0.3021,,0
18,176.3,1.559,0.437,32.95,8.18,0.3579,0.0949,0.3526,,1
19,424.7,0.232,0.599,-133.81,11.21,-1.5404,0.1301,0.3761,,1
20,189.8,2.288,0.576,37.71,10.78,0.5062,0.1251,0.1769,,0
21,417.8,2.506,0.482,57.41,9.02,0.7297,0.1046,0.2963,,0
22,340.7,-0.732,0.935,-121.1,17.49,-1.2551,0.2029,0.0629,,0
23,334.7,-0.635,0.949,-116.86,17.76,-1.2976,0.206,0.1128,,0
24,429.9,1.9,0.371,67.23,6.93,0.5649,0.0804,0.462,,1
25,384.7,-0.289,0.663,-102.52,12.39,-1.4851,0.1438,0.2713,,0
26,423.9,1.574,0.444,57.02,8.31,0.6041,0.0964,0.3306,,0
