idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,186.8,-2.604,0.35,10.94,5.93,0.3616,0.0724,0.5468,,1
1,179.5,-2.493,0.301,14.42,5.1,0.4391,0.0622,0.5524,,1
2,168.9,-2.598,0.315,18.83,5.33,0.4936,0.0651,0.4709,,1
3,176.0,-2.528,0.301,13.2,5.1,0.4489,0.0623,0.5536,,1
4,165.2,-3.03,0.309,17.07,5.23,0.5064,0.0639,0.4588,,1
5,158.4,-2.373,0.421,30.04,7.14,0.6304,0.0872,0.3181,,0
6,366.9,-0.189,0.57,43.03,9.67,-0.1115,0.118,0.1378,,0
7,365.1,0.058,0.573,42.25,9.71,-0.1376,0.1186,0.1453,,0
8,354.1,0.09,0.575,42.09,9.74,-0.0757,0.1189,0.1296,,0
9,355.9,0.158,0.571,44.54,9.67,-0.1071,0.1181,0.1399,,0
10,419.8,-2.51,0.207,31.67,3.5,0.2777,0.0428,0.6387,,1
11,154.4,-3.425,0.495,28.18,8.39,0.6428,0.1024,0.2074,,0
12,450.8,-2.412,0.218,13.89,3.69,0.2349,0.045,0.6117,,1
13,165.6,0.831,0.796,9.67,13.5,0.0536,0.1648,0.1026,,0
14,163.8,0.674,0.778,10.48,13.19,0.0621,0.1611,0.1137,,0
15,463.7,-2.344,0.191,12.38,3.24,0.1497,0.0396,0.7098,,1
16,461.9,-0.743,0.242,14.52,4.11,0.0486,0.0501,0.5313,,1
17,438.0,-1.821,0.32,18.84,5.42,0.3136,0.0661,0.4224,,1
18,452.6,-2.202,0.223,14.23,3.78,0.2035,0.0461,0.5921,,1
19,474.7,-2.532,0.19,12.46,3.22,0.0716,0.0393,0.7226,,1
20,167.4,0.558,0.734,24.74,12.44,0.1198,0.1519,0.0341,,0
21,174.8,1.296,0.766,11.78,12.99,0.0503,0.1586,0.0718,,0
22,439.8,-2.538,0.336,20.83,5.69,0.1884,0.0694,0.3013,,0
23,343.1,-0.24,0.61,45.92,10.33,-0.084,0.1261,0.1274,,0
24,176.6,0.556,0.784,14.84,13.29,0.0532,0.1623,0.1223,,0
25,425.2,-2.16,0.302,19.98,5.12,0.1839,0.0625,0.4608,,1
26,381.2,-1.704,0.284,10.53,4.82,0.2574,0.0588,0.426,,1
27,376.1,-0.099,0.573,46.18,9.71,-0.1058,0.1185,0.1632,,0
28,460.1,-1.599,0.358,15.31,6.06,-0.018,0.074,0.3804,,1
29,178.4,0.823,0.784,15.01,13.29,0.0342,0.1622,0.1138,,0
30,449.1,-2.674,0.21,13.84,3.56,0.1411,0.0434,0.7082,,1
31,368.4,-2.325,0.262,21.26,4.44,0.341,0.0542,0.6192,,1
32,184.5,-3.907,0.388,16.27,6.57,0.2464,0.0803,0.3363,,0
33,392.2,-2.122,0.193,23.72,3.26,0.1895,0.0398,0.7149,,1
34,427.0,-2.433,0.278,25.58,4.72,0.2416,0.0576,0.5654,,1
35,357.4,-0.86,0.456,15.57,7.72,0.3657,0.0943,0.2246,,0
36,363.3,-0.01,0.6,40.54,10.16,-0.2611,0.124,0.1678,,0
37,366.6,-2.465,0.223,27.29,3.78,0.2832,0.0462,0.5893,,1
38,500.3,-2.104,0.38,5.94,6.44,-0.1032,0.0787,0.3073,,0
