idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,59.5,-1.222,0.869,74.13,17.7,0.2041,0.1885,0.2625,,0
1,51.5,-0.355,0.769,79.74,15.66,0.2833,0.1668,0.062,,0
2,63.9,-0.685,0.626,60.05,12.74,-0.6282,0.1357,0.1573,,0
3,68.8,-1.034,0.569,58.66,11.59,-0.6414,0.1234,0.3954,,1
4,50.4,-1.111,0.565,71.38,11.51,0.0824,0.1226,0.1473,,0
5,178.6,-0.642,0.755,36.63,15.39,-0.1297,0.1639,0.1164,,0
6,67.4,-1.314,0.842,76.8,17.15,0.3454,0.1826,0.1702,,0
7,71.7,0.051,0.635,63.25,12.94,-0.5412,0.1377,0.1607,,0
8,170.0,-0.397,0.697,63.71,14.2,-0.1081,0.1512,0.3041,,0
9,38.3,-1.872,0.661,101.21,13.46,0.0536,0.1433,0.2476,,0
10,178.8,-0.446,0.683,67.2,13.91,-0.0907,0.1481,0.2682,,0
11,539.8,0.316,1.346,66.96,27.43,-0.3706,0.292,0.1072,,0
12,179.1,1.756,0.884,33.82,18.01,-0.9491,0.1918,0.0931,,0
13,47.1,-1.713,0.738,113.57,15.02,0.1697,0.16,0.0653,,0
14,530.6,-0.862,1.382,40.19,28.15,-0.2511,0.2997,0.1412,,0
15,34.1,-1.994,0.597,43.73,12.16,-0.3564,0.1295,0.1366,,0
16,41.3,1.287,0.641,46.97,13.06,0.0231,0.1391,0.1912,,0
17,60.2,-1.589,0.67,78.61,13.65,-0.6327,0.1453,0.1795,,0
18,58.3,-1.176,0.542,73.19,11.03,0.0946,0.1175,0.2013,,0
19,418.3,0.58,1.059,60.81,21.56,-0.6595,0.2296,0.2119,,0
20,409.6,2.066,1.023,48.29,20.84,-0.6763,0.222,0.0489,,0
21,54.6,-0.654,0.634,46.69,12.92,-0.5772,0.1375,0.2451,,0
22,15.6,-1.868,0.635,39.03,12.94,-0.3602,0.1378,0.1867,,0
23,26.1,-1.418,0.848,62.86,17.26,-0.4601,0.1838,0.1484,,0
24,161.4,-0.486,0.707,66.87,14.4,-0.0738,0.1533,0.2456,,0
25,400.8,1.051,1.049,66.94,21.38,-0.5525,0.2276,0.2161,,0
26,409.8,1.004,1.116,38.37,22.72,-0.5909,0.242,0.2247,,0
27,14.8,0.236,0.549,85.46,11.19,0.107,0.1192,0.242,,0
28,62.5,-0.517,0.633,47.24,12.89,-0.5643,0.1372,0.2432,,0
29,401.0,1.093,1.031,57.0,21.01,-0.656,0.2237,0.2307,,0
30,29.7,-0.312,0.565,101.04,11.51,0.1974,0.1225,0.3564,,1
31,24.1,-1.437,0.638,36.46,13.0,-0.3236,0.1384,0.1424,,0
32,25.1,-1.373,0.594,38.04,12.11,-0.285,0.1289,0.1459,,0
33,58.2,-0.897,0.704,59.87,14.34,-0.5362,0.1527,0.1768,,0
34,12.3,0.109,0.963,99.0,19.62,0.0706,0.2089,0.2908,,0
35,171.3,0.451,0.705,37.03,14.37,-0.8664,0.153,0.1278,,0
36,33.2,-1.409,0.606,39.17,12.34,-0.2563,0.1315,0.1237,,0
37,17.9,-1.553,0.748,48.3,15.24,-0.4808,0.1622,0.2068,,0
38,209.7,0.426,0.495,26.61,10.08,-0.6475,0.1074,0.3168,,0
39,392.3,1.225,1.046,65.01,21.3,-0.5149,0.2268,0.2227,,0
40,42.2,-2.005,0.922,28.97,18.79,-0.2113,0.2,0.1332,,0
41,42.4,-1.106,0.559,67.08,11.39,0.1168,0.1213,0.1308,,0
