idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,278.6,0.952,0.202,37.03,3.79,0.3039,0.0439,0.8522,,1
1,289.7,1.064,0.201,34.21,3.77,0.334,0.0437,0.86,,1
2,151.8,-1.402,0.445,27.46,8.33,0.2983,0.0965,0.4209,,1
3,283.3,0.572,0.213,34.87,3.98,0.3866,0.0461,0.8685,,1
4,267.8,1.343,0.503,30.83,9.42,0.411,0.1091,0.2497,,0
5,142.3,0.479,0.265,28.24,4.96,0.4722,0.0575,0.6745,,1
6,142.2,1.095,0.213,25.09,4.0,0.4009,0.0463,0.7962,,1
7,296.4,1.073,0.189,27.18,3.55,0.2086,0.0411,0.8463,,1
8,277.1,1.33,0.296,41.15,5.55,0.5433,0.0643,0.7187,,1
9,150.7,-0.42,0.272,31.46,5.09,0.2492,0.059,0.6459,,1
10,332.1,0.942,0.512,7.13,9.59,0.4219,0.1111,0.2315,,0
11,159.4,0.774,0.191,33.42,3.57,0.4305,0.0414,0.8294,,1
12,271.9,0.573,0.2,33.15,3.75,0.4165,0.0435,0.8722,,1
13,285.6,1.404,0.438,17.48,8.21,0.5675,0.0951,0.5118,,1
14,151.6,0.838,0.187,30.45,3.5,0.3531,0.0405,0.836,,1
15,401.3,0.84,0.163,13.53,3.06,0.5616,0.0354,0.8639,,1
16,161.1,0.943,0.542,56.37,10.15,0.3627,0.1176,0.2218,,0
17,265.5,1.449,0.439,50.11,8.22,0.4673,0.0953,0.6036,,1
18,326.5,0.563,1.289,-65.9,24.15,-1.2923,0.2798,0.1612,,0
19,383.9,0.156,0.248,19.54,4.64,0.2953,0.0538,0.7113,,1
20,375.5,1.433,0.183,27.44,3.43,0.4934,0.0397,0.8384,,1
21,336.3,0.565,1.268,-71.1,23.76,-1.4296,0.2752,0.1135,,0
22,135.0,-0.19,0.535,25.0,10.03,0.2656,0.1162,0.4718,,1
23,582.6,0.702,0.681,38.11,12.76,0.345,0.1478,0.3316,,0
