idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,225.7,0.048,0.12,-32.87,2.3,-0.3353,0.026,0.9239,,1
1,229.1,0.233,0.106,-31.55,2.04,-0.3359,0.0231,0.9389,,1
2,215.9,0.579,0.138,-33.81,2.65,-0.2508,0.03,0.8997,,1
3,212.4,-0.253,0.153,-42.2,2.94,-0.3243,0.0333,0.878,,1
4,220.0,-0.188,0.369,-47.89,7.1,-0.5554,0.0803,0.5082,,1
5,0.2,-0.103,0.925,34.42,17.8,1.0681,0.2013,0.1075,,0
6,15.7,0.306,1.112,36.01,21.39,0.8331,0.2419,0.1859,,0
7,207.2,0.412,0.205,-42.37,3.94,-0.2964,0.0446,0.8678,,1
8,224.4,0.43,0.381,-53.14,7.34,-0.5434,0.083,0.5485,,1
9,10.3,-0.11,0.934,39.87,17.97,0.928,0.2033,0.1313,,0
10,6.1,-0.128,1.01,26.21,19.43,0.7465,0.2197,0.169,,0
11,4.5,-1.721,0.885,42.46,17.02,0.8952,0.1925,0.189,,0
12,5.6,0.299,0.992,45.8,19.09,0.9539,0.216,0.1128,,0
13,202.9,-0.177,0.168,-42.03,3.24,-0.383,0.0367,0.8556,,1
14,26.2,0.052,0.926,26.53,17.81,0.7962,0.2015,0.1178,,0
15,9.8,0.961,1.032,32.31,19.85,0.8386,0.2246,0.1075,,0
16,20.4,-0.054,1.063,5.87,20.45,0.544,0.2314,0.0603,,0
17,16.1,0.435,0.948,39.18,18.24,0.9566,0.2063,0.1381,,0
18,272.3,0.158,0.254,-27.64,4.88,-0.1065,0.0552,0.8509,,1
19,262.6,-0.334,0.257,-30.99,4.95,-0.2622,0.056,0.8761,,1
20,282.0,-0.64,0.589,-48.15,11.32,-0.3408,0.1281,0.2726,,0
21,199.2,-0.805,0.412,-38.37,7.93,-0.4165,0.0897,0.516,,1
22,286.9,-0.704,0.275,-30.39,5.28,-0.3583,0.0598,0.7562,,1
23,279.3,-0.557,0.351,-23.57,6.76,-0.2132,0.0764,0.745,,1
24,4.1,-2.081,0.565,-21.01,10.88,-0.4507,0.123,0.4187,,1
25,11.5,0.628,0.979,47.74,18.84,0.9358,0.2131,0.0551,,0
26,288.8,-1.087,0.345,-24.85,6.63,-0.2733,0.075,0.6023,,1
27,21.5,-0.407,1.145,62.38,22.04,1.2829,0.2493,0.1256,,0
28,265.7,-0.432,0.622,-50.87,11.96,-0.228,0.1353,0.2715,,0
29,270.0,-0.339,0.265,-35.29,5.1,-0.1905,0.0577,0.7458,,1
30,128.2,-0.233,0.71,-31.32,13.67,-0.4781,0.1546,0.1332,,0
31,228.1,0.581,0.248,-30.15,4.77,-0.5864,0.0539,0.859,,1
32,239.4,2.838,0.678,-55.54,13.04,-0.5989,0.1475,0.248,,0
33,70.5,-0.399,1.143,26.71,22.0,-0.1221,0.2488,0.1873,,0
34,277.8,-0.155,0.266,-18.46,5.12,-0.136,0.0579,0.7915,,1
35,275.7,-0.158,0.634,-36.03,12.19,-0.3641,0.1379,0.4585,,1
36,77.2,-0.509,1.194,67.29,22.98,0.6211,0.2599,0.0572,,0
37,1.4,-0.421,1.201,37.79,23.11,0.7048,0.2614,0.1563,,0
38,106.4,0.466,0.384,-30.53,7.39,-0.2026,0.0836,0.6532,,1
39,69.6,0.429,1.075,55.36,20.68,0.6972,0.234,0.0519,,0
40,76.2,-1.469,1.118,7.02,21.52,0.0078,0.2434,0.0672,,0
41,239.2,1.896,0.476,-49.37,9.16,-0.5396,0.1036,0.4855,,1
42,6.0,-0.967,0.358,-29.16,6.9,-0.2527,0.078,0.7648,,1
