idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,355.9,0.306,0.215,-7.86,3.69,0.0814,0.0443,0.6876,,1
1,355.2,-0.226,0.191,-6.75,3.28,-0.0095,0.0394,0.7892,,1
2,364.3,-0.084,0.239,-27.03,4.1,0.118,0.0493,0.644,,1
3,290.0,-0.858,0.336,-9.55,5.77,-0.2637,0.0693,0.5022,,1
4,171.0,1.585,0.302,-150.65,5.18,-0.2326,0.0622,0.4166,,1
5,57.9,0.37,0.714,-177.64,12.23,-0.3366,0.147,0.0868,,0
6,354.5,0.01,0.214,2.1,3.67,-0.055,0.0441,0.7101,,1
7,365.0,-0.317,0.219,-3.87,3.76,0.0669,0.0452,0.6925,,1
8,381.8,-0.042,0.223,-14.63,3.82,0.1457,0.0459,0.6366,,1
9,290.7,-1.187,0.33,-10.03,5.65,-0.1932,0.0679,0.4023,,1
10,373.4,-0.225,0.2,-13.33,3.43,0.0722,0.0412,0.7685,,1
11,281.6,-1.662,0.303,-26.49,5.2,-0.3271,0.0625,0.5017,,1
12,372.7,-0.1,0.191,-3.72,3.27,0.0553,0.0393,0.7901,,1
13,363.6,-0.212,0.197,-9.35,3.38,0.0564,0.0406,0.7715,,1
14,475.5,0.141,0.235,-0.63,4.03,0.2638,0.0485,0.7041,,1
15,602.7,-0.197,0.482,-200.69,8.27,-0.7118,0.0993,0.118,,0
16,365.8,-0.276,0.314,-26.07,5.38,-0.0213,0.0647,0.5474,,1
17,620.2,0.373,0.273,-203.88,4.67,-0.688,0.0561,0.441,,1
18,48.8,1.344,0.639,-178.39,10.96,-0.3026,0.1317,0.2228,,0
19,49.5,1.923,0.602,-182.88,10.32,-0.2184,0.124,0.2185,,0
20,361.4,-0.267,0.339,-12.51,5.8,-0.1291,0.0697,0.5374,,1
21,41.1,2.04,0.594,-180.82,10.18,-0.1939,0.1223,0.1939,,0
22,372.0,0.167,0.211,-0.72,3.61,0.1093,0.0434,0.7201,,1
23,484.6,0.276,0.248,20.18,4.26,0.3798,0.0512,0.658,,1
24,466.4,-0.562,0.239,-1.69,4.1,0.1932,0.0493,0.7077,,1
25,40.4,1.958,0.603,-184.05,10.33,-0.2128,0.1241,0.2259,,0
26,628.6,0.429,0.269,-208.02,4.61,-0.7097,0.0554,0.4607,,1
27,476.2,-0.307,0.217,0.63,3.71,0.2196,0.0446,0.7658,,1
28,433.6,-0.283,0.165,-52.71,2.83,0.0842,0.034,0.815,,1
29,611.1,0.369,0.413,-195.46,7.08,-0.7413,0.0851,0.1644,,0
30,231.1,0.845,0.343,-147.17,5.88,-0.1221,0.0706,0.2162,,0
31,152.8,1.85,0.303,-141.68,5.2,-0.1363,0.0624,0.4117,,1
32,144.4,1.315,0.412,-148.42,7.07,-0.1236,0.0849,0.1323,,0
33,264.1,-0.248,0.272,-25.7,4.67,-0.3527,0.0561,0.5493,,1
34,196.9,1.633,0.405,-133.28,6.95,-0.0844,0.0835,0.2907,,0
35,629.3,0.358,0.273,-202.31,4.68,-0.6732,0.0562,0.4429,,1
36,435.0,-0.291,0.177,-26.55,3.04,0.0381,0.0365,0.7916,,1
37,161.1,1.654,0.301,-131.17,5.16,-0.1596,0.0621,0.4144,,1
38,360.7,-0.784,0.262,-7.83,4.5,-0.1993,0.054,0.6803,,1
39,611.9,0.505,0.43,-193.69,7.37,-0.6306,0.0886,0.2006,,0
40,169.5,1.609,0.39,-127.4,6.69,-0.1072,0.0804,0.3835,,1
41,262.6,-0.539,0.34,-23.79,5.83,-0.5209,0.07,0.5146,,1
42,255.7,0.886,0.261,-19.35,4.47,-0.3843,0.0537,0.5759,,1
43,425.9,-0.081,0.203,-40.32,3.48,-0.0209,0.0418,0.6747,,1
44,187.7,1.853,0.463,-118.59,7.93,-0.0084,0.0953,0.2485,,0
45,271.0,-1.195,0.46,-14.64,7.89,-0.3929,0.0948,0.2001,,0
46,273.2,-0.052,0.285,-24.4,4.88,-0.4407,0.0587,0.5423,,1
47,143.6,1.653,0.359,-138.16,6.15,-0.1861,0.0739,0.2364,,0
48,425.2,0.139,0.199,-58.69,3.41,0.1007,0.041,0.7236,,1
49,32.0,1.789,0.589,-185.74,10.1,-0.134,0.1214,0.1021,,0
50,161.9,0.961,0.322,-121.42,5.52,-0.1244,0.0664,0.3117,,0
51,179.4,1.376,0.299,-147.77,5.12,-0.1949,0.0615,0.4399,,1
52,254.3,-0.847,0.247,-26.63,4.23,-0.3835,0.0509,0.6126,,1
53,264.8,-0.265,0.243,-24.02,4.17,-0.4032,0.0501,0.627,,1
54,383.3,0.476,0.274,-43.37,4.7,-0.0665,0.0565,0.5542,,1
55,196.1,1.438,0.359,-139.88,6.16,-0.1176,0.074,0.4209,,1
56,170.2,0.845,0.401,-131.77,6.87,-0.0642,0.0825,0.2066,,0
57,136.0,1.616,0.347,-161.12,5.95,-0.2502,0.0715,0.4111,,1
58,152.0,1.638,0.3,-132.27,5.15,-0.2169,0.0619,0.4092,,1
59,518.6,0.667,0.51,-204.71,8.74,-0.5132,0.105,0.2101,,0
60,434.3,-0.166,0.164,-34.26,2.81,0.1063,0.0337,0.8179,,1
61,402.9,-0.943,0.498,8.56,8.54,-0.0981,0.1026,0.4481,,1
62,178.6,1.354,0.301,-137.48,5.16,-0.226,0.062,0.4289,,1
63,31.3,1.261,0.618,-184.83,10.58,-0.0918,0.1272,0.2694,,0
64,135.3,1.071,0.333,-148.67,5.71,-0.1064,0.0686,0.2992,,0
65,328.3,0.352,0.642,-158.79,11.0,-0.4005,0.1322,0.2272,,0
66,253.5,-0.724,0.337,-26.52,5.77,-0.5083,0.0693,0.5021,,1
67,424.5,-0.334,0.181,-39.23,3.11,0.1061,0.0373,0.7823,,1
68,337.4,0.654,0.577,-155.09,9.89,-0.4472,0.1189,0.2968,,0
69,416.1,-0.089,0.182,-43.66,3.12,0.02,0.0375,0.7649,,1
70,360.0,-1.097,0.28,-7.86,4.81,-0.2487,0.0578,0.5543,,1
71,467.1,-0.052,0.215,-6.69,3.69,0.2396,0.0443,0.7795,,1
72,346.8,0.495,0.25,1.25,4.28,0.1152,0.0514,0.6486,,1
73,362.9,0.141,0.198,1.45,3.39,0.0193,0.0407,0.7783,,1
74,416.8,0.532,0.322,-37.98,5.52,0.0548,0.0664,0.421,,1
75,254.8,2.645,0.488,-107.16,8.36,-0.1706,0.1005,0.0241,,0
76,153.5,1.164,0.372,-130.2,6.37,-0.1551,0.0765,0.2925,,0
77,126.1,1.041,0.375,-138.72,6.42,-0.1985,0.0772,0.3142,,0
78,488.4,0.953,0.287,-201.11,4.92,-0.5663,0.0592,0.5514,,1
79,517.9,0.083,0.288,-210.89,4.93,-0.5792,0.0592,0.4806,,1
80,527.0,0.343,0.297,-211.03,5.1,-0.6072,0.0613,0.4707,,1
81,160.4,1.874,0.348,-128.44,5.96,-0.0915,0.0716,0.3063,,0
82,205.2,2.32,0.331,-145.91,5.68,-0.1038,0.0682,0.3852,,1
83,395.0,0.315,0.202,-16.84,3.47,-0.3547,0.0417,0.6432,,1
84,134.5,1.556,0.358,-131.33,6.14,-0.2142,0.0738,0.2564,,0
85,476.9,-0.315,0.221,2.73,3.79,0.2341,0.0455,0.7251,,1
86,668.4,0.985,0.284,-213.88,4.87,-0.6566,0.0585,0.4922,,1
87,187.0,1.46,0.353,-114.44,6.06,-0.0661,0.0728,0.3368,,0
88,496.8,1.055,0.298,-197.4,5.11,-0.5134,0.0614,0.4682,,1
89,527.7,0.107,0.287,-206.21,4.92,-0.6465,0.0592,0.5224,,1
90,493.7,-0.242,0.277,28.68,4.74,0.3867,0.057,0.5448,,1
91,660.7,0.842,0.286,-207.31,4.9,-0.6271,0.0588,0.525,,1
92,519.3,0.214,0.298,-213.63,5.11,-0.6209,0.0613,0.4075,,1
93,245.2,0.473,0.411,-31.1,7.04,-0.453,0.0846,0.3839,,1
94,280.1,-1.518,0.431,-32.87,7.39,-0.5476,0.0888,0.291,,0
95,485.3,-0.421,0.243,15.85,4.17,0.2636,0.0501,0.6931,,1
96,43.2,-0.845,0.579,-11.04,9.93,-0.2504,0.1193,0.2127,,0
97,145.1,1.331,0.375,-164.93,6.43,-0.2603,0.0773,0.2744,,0
98,637.0,1.266,0.394,-207.02,6.76,-0.4546,0.0812,0.1357,,0
99,664.9,-0.261,0.673,18.89,11.53,0.1971,0.1385,0.1282,,0
100,329.0,0.201,0.758,-172.71,12.98,-0.572,0.156,0.0541,,0
101,39.7,1.775,0.692,-177.76,11.87,-0.3861,0.1426,0.1191,,0
102,371.3,-0.425,0.212,-6.24,3.64,-0.1758,0.0437,0.7111,,1
103,669.1,0.776,0.287,-210.37,4.92,-0.688,0.0592,0.5212,,1
104,407.7,0.334,0.31,-38.45,5.31,0.1361,0.0638,0.4599,,1
105,142.9,1.188,0.32,-129.67,5.49,-0.1619,0.066,0.3809,,1
106,385.8,0.092,0.237,-19.08,4.06,-0.3746,0.0488,0.5218,,1
107,212.2,2.017,0.286,-124.21,4.9,-0.1532,0.0589,0.4238,,1
108,151.3,1.522,0.311,-118.12,5.32,-0.1305,0.064,0.3856,,1
109,261.9,-1.131,0.466,-14.27,7.98,-0.3651,0.0959,0.2131,,0
110,432.8,-0.132,0.173,-28.29,2.96,0.1788,0.0356,0.746,,1
111,22.9,1.446,0.572,-184.18,9.81,-0.2152,0.1179,0.0529,,0
112,368.4,-0.146,0.318,17.32,5.45,-0.0653,0.0655,0.6566,,1
113,177.9,1.516,0.346,-119.32,5.93,0.0919,0.0713,0.3663,,1
114,168.1,0.956,0.359,-139.57,6.15,-0.138,0.0739,0.2758,,0
115,221.3,1.714,0.287,-143.49,4.91,-0.1185,0.059,0.4347,,1
116,246.6,0.777,0.257,-19.09,4.4,-0.3511,0.0529,0.593,,1
117,655.8,-0.995,0.588,2.89,10.08,0.2121,0.1211,0.1684,,0
118,619.5,0.556,0.275,-209.09,4.72,-0.6872,0.0567,0.4437,,1
119,509.5,-0.266,0.392,-202.73,6.72,-0.6847,0.0807,0.3711,,1
120,510.2,0.532,0.437,-213.52,7.48,-0.566,0.0899,0.2419,,0
121,381.1,-0.437,0.431,-8.4,7.39,0.1156,0.0887,0.0866,,0
122,353.8,-0.62,0.336,3.55,5.76,-0.0725,0.0692,0.3276,,0
123,487.7,1.067,0.297,-201.44,5.09,-0.4278,0.0612,0.4046,,1
124,34.1,-0.363,0.638,-7.13,10.94,-0.2429,0.1314,0.4422,,1
125,716.2,-0.422,0.755,-12.93,12.94,0.2365,0.1555,0.1175,,0
126,660.0,0.644,0.331,-212.73,5.67,-0.6517,0.0681,0.4656,,1
127,299.8,-1.131,0.45,-24.26,7.71,-0.2381,0.0927,0.1671,,0
128,133.1,1.59,0.455,-119.7,7.81,-0.0853,0.0938,0.247,,0
129,125.4,1.58,0.362,-124.02,6.2,-0.2068,0.0745,0.3048,,0
130,676.8,1.918,0.527,-223.44,9.02,-0.7125,0.1084,0.2518,,0
131,627.9,0.969,0.537,-212.43,9.21,-0.4365,0.1107,0.1735,,0
132,272.5,-1.044,0.259,-16.24,4.43,-0.3601,0.0533,0.6163,,1
133,38.1,0.012,0.92,-112.84,15.76,-0.1085,0.1894,0.0431,,0
134,79.3,-0.737,0.37,29.98,6.34,0.1074,0.0762,0.3914,,1
135,479.3,0.692,0.31,-205.18,5.31,-0.5531,0.0638,0.5391,,1
136,417.5,0.953,0.297,-43.51,5.09,-0.007,0.0612,0.4149,,1
137,117.0,0.664,0.394,-136.82,6.75,-0.2139,0.0811,0.2995,,0
138,280.7,1.554,0.434,-123.8,7.43,-0.11,0.0893,0.1966,,0
139,177.2,1.168,0.344,-141.47,5.89,-0.1259,0.0708,0.3098,,0
140,264.7,1.816,0.379,-141.59,6.49,0.0193,0.078,0.1864,,0
141,187.9,0.587,0.413,22.28,7.08,-0.0451,0.0851,0.273,,0
142,391.6,-0.219,0.381,-45.31,6.53,0.0423,0.0784,0.1656,,0
143,176.5,2.132,0.505,-130.03,8.65,0.0904,0.104,0.0903,,0
144,273.9,1.617,0.373,-27.43,6.39,-0.4773,0.0768,0.2578,,0
145,528.4,0.709,0.396,-202.63,6.79,-0.6065,0.0816,0.3968,,1
146,291.4,-1.538,0.266,-23.24,4.56,-0.2805,0.0548,0.5291,,1
