idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,354.9,2.946,0.393,20.09,7.41,0.1392,0.0852,0.5633,,1
1,337.1,1.677,0.401,20.44,7.57,0.1034,0.0871,0.5355,,1
2,418.3,0.784,0.385,-16.8,7.27,-0.3359,0.0836,0.5412,,1
3,396.3,1.86,0.541,-25.91,10.2,-0.3413,0.1174,0.6278,,1
4,407.3,1.814,0.498,-18.99,9.4,-0.3499,0.1081,0.6289,,1
5,348.0,1.898,0.394,20.33,7.44,0.0632,0.0856,0.5438,,1
6,422.4,1.134,0.526,-16.37,9.93,-0.2615,0.1142,0.6249,,1
7,415.6,0.464,0.488,-20.36,9.2,-0.3024,0.1058,0.5877,,1
8,330.2,1.59,0.437,21.14,8.24,0.2214,0.0948,0.4611,,1
9,385.4,2.167,0.56,-22.31,10.57,-0.386,0.1216,0.3261,,0
10,869.0,2.208,0.933,0.91,17.59,0.3239,0.2024,0.1356,,0
11,411.4,0.991,0.498,-17.49,9.4,-0.2688,0.1082,0.6026,,1
12,860.5,2.124,0.981,17.53,18.5,0.5168,0.2128,0.082,,0
13,400.5,0.771,0.493,-19.88,9.3,-0.2476,0.107,0.5391,,1
14,840.2,3.043,0.921,1.89,17.38,0.6408,0.1999,0.0971,,0
15,341.2,1.829,0.427,20.59,8.05,0.124,0.0926,0.4973,,1
16,837.9,1.974,0.978,7.56,18.45,0.3314,0.2122,0.1034,,0
17,241.5,0.439,0.344,-40.67,6.48,-0.4546,0.0745,0.5304,,1
18,866.9,2.224,0.984,3.23,18.56,0.6803,0.2135,0.0202,,0
19,359.0,1.786,0.407,22.13,7.68,-0.016,0.0884,0.545,,1
20,404.6,0.63,0.478,-20.47,9.02,-0.2857,0.1037,0.5793,,1
21,862.3,2.573,1.003,6.34,18.93,0.7146,0.2177,0.0857,,0
22,849.1,2.259,0.918,13.1,17.32,0.6465,0.1992,0.0482,,0
23,398.2,1.85,0.473,-31.39,8.92,-0.4775,0.1027,0.5147,,1
24,858.0,2.382,0.957,-2.09,18.06,0.5649,0.2077,0.0444,,0
