date,bperp_m,btemp_days,is_master,temp_C
20220330,0.0,204.1,1,9.8
20210907,-26.25,0.0,0,20.2
20211025,-84.16,48.0,0,9.5
20211212,-80.01,96.1,0,-2.5
20220129,44.27,144.1,0,-4.8
20220610,-151.55,276.2,0,20.9
20220809,-108.13,336.2,0,22.4
20220926,70.31,384.3,0,17.4
20221125,-129.14,444.3,0,10.5
20230112,104.51,492.3,0,5.0
20230301,-86.8,540.4,0,2.8
20230418,39.57,588.4,0,12.9
20230723,-117.86,684.5,0,24.7
20230909,-189.0,732.5,0,23.5
20231027,33.26,780.5,0,12.5
20231214,-40.79,828.6,0,6.1
20240131,-71.36,876.5,0,1.2
20240319,-114.42,924.4,0,4.8
20240530,60.51,996.3,0,19.3
20240810,70.78,1068.1,0,28.4
20240927,-55.61,1116.0,0,21.3
20241126,79.32,1175.9,0,3.6
20250125,52.37,1235.8,0,3.0
20250314,-44.14,1283.9,0,10.8
20250513,103.98,1343.9,0,18.1
20250805,71.67,1428.0,0,27.5
20250922,-8.06,1476.0,0,20.3
20251109,-16.4,1524.0,0,10.5
20251227,60.14,1572.1,0,-1.5
