idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,231.8,1.706,1.901,42.23,17.37,-0.1341,0.249,0.1772,,0
1,177.4,-0.251,1.691,2.73,15.45,0.1955,0.2215,0.1694,,0
2,435.7,3.634,1.375,-146.62,12.57,-1.1868,0.1801,0.358,,1
3,179.8,0.626,1.305,17.17,11.92,0.1616,0.1709,0.159,,0
4,176.5,0.641,1.243,-13.58,11.36,0.2954,0.1628,0.2119,,0
5,617.1,6.501,2.148,-117.68,19.63,-1.15,0.2814,0.1726,,0
6,279.0,1.19,1.069,-4.02,9.77,0.2668,0.14,0.2894,,0
7,184.6,0.891,1.304,18.95,11.92,0.2889,0.1708,0.1364,,0
8,288.6,1.164,2.045,-17.59,18.69,0.0429,0.2679,0.2595,,0
9,277.6,0.718,1.092,-9.08,9.98,0.4357,0.1431,0.2319,,0
10,611.9,4.629,2.2,-126.06,20.1,-1.032,0.2881,0.0298,,0
11,624.4,2.523,1.734,-175.32,15.85,-1.1592,0.2272,0.2131,,0
12,108.5,-1.527,1.01,66.86,9.23,0.3751,0.1323,0.3675,,1
13,215.6,2.535,1.708,29.48,15.61,0.0341,0.2238,0.0811,,0
14,65.8,-2.822,1.366,63.27,12.48,-0.2128,0.1789,0.2923,,0
15,98.0,-0.856,1.013,69.11,9.25,0.279,0.1327,0.3868,,1
16,227.0,-0.231,2.067,56.13,18.88,-0.1168,0.2707,0.3085,,0
17,226.1,0.332,1.781,47.74,16.27,-0.007,0.2333,0.1471,,0
18,620.9,1.538,1.765,-161.7,16.13,-1.5155,0.2312,0.1231,,0
19,123.7,-2.227,1.075,67.31,9.82,0.5422,0.1408,0.3227,,0
20,113.2,-2.029,1.017,67.85,9.29,0.3253,0.1332,0.3686,,1
21,8.9,-2.558,1.565,-54.71,14.3,-1.2763,0.205,0.1799,,0
22,102.8,-1.551,0.997,64.92,9.11,0.1964,0.1306,0.3823,,1
23,617.8,2.505,1.719,-162.69,15.71,-1.4406,0.2252,0.2002,,0
