idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,19.1,-1.074,0.793,35.36,15.09,-0.3649,0.1725,0.0484,,0
1,279.8,0.563,1.352,71.52,25.73,0.1741,0.2942,0.1881,,0
2,14.4,-0.937,0.908,24.55,17.28,-0.3824,0.1975,0.222,,0
3,8.6,-0.885,0.582,29.22,11.07,-0.5105,0.1266,0.1878,,0
4,232.9,-0.41,1.036,46.82,19.73,0.0269,0.2255,0.097,,0
5,290.2,1.365,1.32,44.26,25.12,0.2429,0.2872,0.0668,,0
6,19.1,-1.135,0.576,39.29,10.96,-0.3145,0.1253,0.1488,,0
7,284.8,0.28,1.135,57.9,21.6,0.0471,0.247,0.1478,,0
8,3.9,-0.94,0.626,21.27,11.92,-0.5919,0.1362,0.1589,,0
9,9.9,-2.737,0.791,38.9,15.06,-0.1253,0.1721,0.1528,,0
10,13.4,-0.622,0.607,21.74,11.56,-0.4569,0.1322,0.1419,,0
11,8.8,-0.936,0.701,45.02,13.34,-0.1297,0.1525,0.1492,,0
12,1.8,-1.497,0.596,16.68,11.35,-0.4221,0.1298,0.3923,,1
13,17.3,-0.06,0.632,45.53,12.02,-0.2464,0.1375,0.3768,,1
14,0.5,-1.492,0.638,34.13,12.15,-0.269,0.1389,0.1683,,0
15,14.1,-1.092,0.76,49.05,14.47,-0.3156,0.1654,0.1585,,0
16,17.0,-1.204,0.575,17.26,10.94,-0.2251,0.1251,0.3008,,0
17,3.8,-0.396,0.74,33.7,14.08,-0.3596,0.161,0.2135,,0
18,2.9,-1.039,0.78,25.8,14.85,-0.4827,0.1697,0.3247,,0
19,305.5,0.705,1.251,77.85,23.82,0.1389,0.2723,0.1429,,0
20,10.8,-1.236,0.523,42.76,9.96,-0.3077,0.1139,0.3338,,0
21,331.2,1.216,1.464,79.57,27.87,0.087,0.3186,0.2158,,0
22,12.2,-2.064,0.755,26.96,14.37,-0.1355,0.1642,0.2088,,0
23,1.9,-1.02,0.54,28.87,10.27,-0.4589,0.1174,0.0584,,0
24,15.8,-1.632,0.654,49.78,12.45,-0.388,0.1423,0.0406,,0
25,6.9,-2.219,0.647,50.63,12.31,-0.443,0.1407,0.1473,,0
26,5.4,-1.075,0.536,28.78,10.2,-0.2937,0.1166,0.2374,,0
27,336.2,1.245,1.588,77.77,30.22,0.0598,0.3455,0.2372,,0
28,6.5,-1.281,0.628,-3.05,11.97,-0.0651,0.1368,0.1235,,0
29,4.9,-1.814,0.685,46.65,13.03,-0.2611,0.149,0.2322,,0
30,1.6,-1.208,0.737,27.25,14.03,-0.2565,0.1604,0.3501,,1
31,173.1,1.718,1.246,19.05,23.73,-0.1695,0.2712,0.1197,,0
32,8.4,-2.06,0.799,9.08,15.22,-0.5814,0.174,0.1024,,0
33,9.1,0.145,0.667,36.79,12.7,-0.2946,0.1452,0.2599,,0
34,14.9,-1.754,0.937,29.76,17.84,-0.3584,0.204,0.285,,0
35,114.3,-0.74,0.743,23.81,14.14,0.5089,0.1617,0.0822,,0
36,222.5,0.928,1.12,36.07,21.32,-0.0107,0.2438,0.0896,,0
37,217.6,0.339,1.151,33.78,21.92,-0.2328,0.2506,0.0178,,0
38,9.6,-2.039,0.686,6.21,13.06,-0.3641,0.1493,0.2247,,0
39,6.6,-1.102,0.758,33.8,14.43,-0.2727,0.1649,0.2177,,0
40,1.2,-0.419,0.835,22.26,15.9,-0.2839,0.1818,0.1327,,0
41,207.2,-0.042,1.282,41.93,24.41,-0.2417,0.279,0.052,,0
42,451.8,-1.27,1.436,-12.61,27.34,-1.0171,0.3126,0.0789,,0
43,20.8,-0.751,0.533,40.63,10.14,-0.2705,0.1159,0.2956,,0
44,446.8,-0.436,1.357,-10.03,25.83,-0.9329,0.2953,0.0591,,0
45,4.5,-1.602,0.663,33.22,12.62,-0.3659,0.1442,0.2073,,0
46,456.8,-0.404,1.509,-19.93,28.73,-0.7208,0.3284,0.2477,,0
47,227.9,-0.134,1.118,51.7,21.29,0.0391,0.2434,0.0996,,0
48,0.8,-1.046,0.591,24.23,11.25,-0.5782,0.1286,0.0298,,0
