date,bperp_m,btemp_days,is_master,temp_C
20220330,0.0,1379.9,1,9.9
20180619,-40.61,0.0,0,21.4
20180806,-55.3,48.0,0,29.0
20180923,-4.39,96.1,0,17.0
20181110,22.09,144.1,0,9.2
20181228,-85.47,192.1,0,-9.9
20190214,-33.59,240.2,0,-1.3
20190403,-48.96,288.2,0,5.7
20190521,-20.56,336.2,0,15.5
20190825,-135.57,432.3,0,23.1
20191012,28.79,480.3,0,14.9
20191129,-11.96,528.4,0,0.4
20200116,-51.41,576.4,0,-3.0
20200304,-53.42,624.3,0,-0.0
20200421,-37.68,672.2,0,6.2
20200714,-39.61,756.0,0,19.6
20200831,-64.83,803.9,0,25.8
20201018,8.81,851.8,0,12.6
20201205,-46.95,899.7,0,0.8
20210122,35.66,947.6,0,5.2
20210311,-4.49,995.7,0,8.4
20210428,60.51,1043.7,0,13.9
20210721,-32.6,1127.8,0,29.2
20210907,-26.73,1175.8,0,20.7
20211025,-79.39,1223.8,0,9.7
20211212,-74.24,1271.9,0,-2.5
20220129,44.23,1319.9,0,-4.8
20220610,-147.09,1452.0,0,20.8
20220809,-105.02,1512.0,0,23.3
20220926,66.19,1560.1,0,17.7
20221125,-121.14,1620.1,0,10.2
20230112,103.19,1668.1,0,4.5
20230301,-81.91,1716.2,0,2.5
20230418,36.12,1764.2,0,12.6
20230723,-114.19,1860.3,0,24.7
20230909,-183.59,1908.3,0,24.2
20231027,32.08,1956.3,0,12.6
20231214,-38.68,2004.4,0,6.2
20240131,-66.54,2052.3,0,1.3
20240319,-109.76,2100.2,0,4.5
20240530,55.68,2172.1,0,19.3
20240810,66.6,2243.9,0,28.5
20240927,-56.82,2291.8,0,21.4
20241126,76.28,2351.7,0,3.6
20250125,52.61,2411.7,0,2.7
20250314,-42.63,2459.7,0,10.2
20250513,97.86,2519.7,0,18.0
20250805,66.46,2603.8,0,27.6
20250922,-8.52,2651.8,0,19.9
20251109,-15.88,2699.8,0,10.9
20251227,60.27,2747.9,0,-2.4
