idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,178.2,-0.917,1.252,160.11,25.42,-0.4628,0.2716,0.0361,,0
1,165.1,-1.283,1.106,164.5,22.45,-0.2745,0.2399,0.0591,,0
2,174.4,-0.457,1.007,162.76,20.43,-0.1392,0.2183,0.1751,,0
3,161.4,-0.436,1.009,161.23,20.48,-0.1264,0.2188,0.1744,,0
4,191.3,-0.015,1.025,155.45,20.81,-0.1355,0.2224,0.2342,,0
5,187.5,-0.467,1.003,163.2,20.35,-0.1493,0.2175,0.1676,,0
6,239.9,-0.444,0.999,152.17,20.28,-0.2943,0.2168,0.1501,,0
7,157.6,-1.497,1.114,168.72,22.61,-0.2399,0.2416,0.0645,,0
8,219.3,-1.255,0.974,178.11,19.77,-0.1687,0.2113,0.0077,,0
9,152.0,-0.878,1.101,163.86,22.34,-0.2638,0.2387,0.117,,0
10,236.1,-0.335,0.961,155.45,19.5,-0.1246,0.2084,0.1772,,0
11,176.3,-0.924,1.03,158.55,20.91,0.0043,0.2234,0.1202,,0
12,163.2,-0.655,1.063,161.76,21.57,-0.067,0.2305,0.085,,0
13,206.2,-0.393,0.964,158.93,19.57,-0.0635,0.2092,0.1326,,0
14,150.1,0.096,1.115,182.2,22.63,-0.0755,0.2418,0.0937,,0
15,149.6,-0.305,0.266,-23.99,5.39,-0.1364,0.0576,0.8263,,1
16,148.3,-0.566,1.036,164.38,21.03,-0.1038,0.2247,0.2349,,0
17,138.9,-0.665,0.254,-24.16,5.15,-0.0933,0.055,0.8444,,1
18,144.5,-0.636,1.14,168.36,23.14,-0.2526,0.2473,0.1543,,0
19,226.8,-0.079,0.98,166.96,19.89,-0.183,0.2126,0.1104,,0
20,170.7,-1.816,1.053,169.82,21.37,-0.2015,0.2284,0.1867,,0
21,124.6,0.109,0.186,-28.25,3.77,0.0221,0.0403,0.8213,,1
22,71.2,-0.867,1.261,197.88,25.6,0.0822,0.2736,0.1794,,0
23,131.8,-0.61,0.29,-22.91,5.89,-0.016,0.0629,0.8293,,1
24,223.0,-0.254,0.957,156.63,19.43,-0.1258,0.2076,0.1794,,0
25,204.4,-0.211,1.008,161.92,20.46,-0.17,0.2187,0.1811,,0
26,200.6,-0.431,0.997,167.29,20.24,-0.1342,0.2163,0.1304,,0
27,193.1,-1.312,0.957,162.56,19.42,-0.1087,0.2075,0.1544,,0
28,125.2,-0.683,0.25,-10.39,5.08,-0.0779,0.0543,0.7083,,1
