date,bperp_m,btemp_days,is_master,temp_C
20220330,0.0,1379.9,1,9.9
20180619,-40.91,0.0,0,20.6
20180806,-54.51,48.0,0,28.7
20180923,3.89,96.1,0,16.4
20181110,21.2,144.1,0,9.3
20181228,-92.49,192.1,0,-10.1
20190214,-35.14,240.2,0,-1.6
20190403,-51.82,288.2,0,5.2
20190521,-20.99,336.2,0,15.3
20190825,-139.96,432.3,0,22.6
20191012,30.55,480.3,0,14.9
20191129,-13.45,528.4,0,0.1
20200116,-55.74,576.4,0,-3.3
20200304,-56.66,624.3,0,-0.1
20200421,-37.39,672.2,0,6.3
20200714,-39.24,756.0,0,19.2
20200831,-65.31,803.9,0,25.7
20201018,8.4,851.8,0,12.6
20201205,-51.39,899.7,0,0.6
20210122,33.97,947.6,0,4.9
20210311,-5.53,995.7,0,8.2
20210428,66.3,1043.7,0,13.4
20210721,-32.72,1127.8,0,28.5
20210907,-26.25,1175.8,0,20.5
20211025,-84.16,1223.8,0,10.0
20211212,-80.01,1271.9,0,-2.7
20220129,44.27,1319.9,0,-4.9
20220610,-151.55,1452.0,0,20.8
20220809,-108.13,1512.0,0,23.0
20220926,70.31,1560.1,0,17.8
20221125,-129.14,1620.1,0,10.2
20230112,104.51,1668.1,0,4.7
20230301,-86.8,1716.2,0,2.4
20230418,39.57,1764.2,0,12.5
20230723,-117.86,1860.3,0,24.4
20230909,-189.0,1908.3,0,24.3
20231027,33.26,1956.3,0,12.5
20231214,-40.79,2004.4,0,6.1
20240131,-71.36,2052.3,0,1.0
20240319,-114.42,2100.2,0,4.4
20240530,60.51,2172.1,0,18.9
20240810,70.78,2243.9,0,28.1
20240927,-55.61,2291.8,0,21.2
20241126,79.32,2351.7,0,3.4
20250125,52.37,2411.7,0,2.4
20250314,-44.14,2459.7,0,10.0
20250513,103.98,2519.7,0,17.8
20250805,71.67,2603.8,0,27.4
20250922,-8.06,2651.8,0,20.0
20251109,-16.4,2699.8,0,10.7
20251227,60.14,2747.9,0,-2.3
