idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,414.8,0.456,0.507,10.72,9.77,0.0826,0.1104,0.3435,,0
1,427.2,-0.83,0.174,9.24,3.35,0.1332,0.0379,0.8437,,1
2,428.9,-0.485,0.347,-2.55,6.69,-0.093,0.0756,0.5972,,1
3,425.9,-0.703,0.161,8.26,3.1,0.03,0.035,0.8648,,1
4,436.9,-0.795,0.177,12.81,3.41,0.1251,0.0385,0.8349,,1
5,438.3,-0.468,0.153,13.65,2.94,0.2742,0.0332,0.8776,,1
6,439.9,-0.219,0.206,12.74,3.96,0.1619,0.0448,0.8242,,1
7,442.0,-0.714,0.152,17.9,2.92,-0.0111,0.033,0.8768,,1
8,431.0,-0.414,0.467,20.69,8.99,0.1058,0.1016,0.473,,1
9,127.8,0.151,0.689,-15.19,13.27,-0.428,0.15,0.1025,,0
10,449.3,1.413,0.472,-22.7,9.09,0.0788,0.1027,0.4142,,1
11,57.8,-0.61,0.428,-7.0,8.23,-0.3953,0.0931,0.6253,,1
12,45.0,-0.688,0.489,-3.04,9.41,-0.2973,0.1063,0.4177,,1
13,444.5,-0.736,0.316,26.7,6.1,0.0413,0.0689,0.5985,,1
14,117.3,-1.252,0.341,-9.54,6.57,-0.3816,0.0742,0.5496,,1
15,450.9,-0.637,0.218,7.35,4.19,0.215,0.0473,0.7851,,1
16,434.6,-0.815,0.254,10.03,4.89,0.3723,0.0553,0.7,,1
17,488.1,-2.248,0.41,24.49,7.89,0.1452,0.0891,0.4692,,1
18,112.9,-1.25,0.342,-10.67,6.58,-0.3652,0.0743,0.5523,,1
19,142.7,0.917,0.732,-20.55,14.1,-0.4573,0.1593,0.0104,,0
20,123.5,-0.217,0.614,3.07,11.82,-0.4574,0.1336,0.1017,,0
21,461.9,-1.021,0.124,21.8,2.39,0.2561,0.027,0.9169,,1
22,416.2,-0.95,0.348,19.91,6.7,-0.0378,0.0757,0.7871,,1
23,452.9,-0.934,0.145,17.19,2.78,0.1622,0.0315,0.8895,,1
24,445.6,-1.984,0.339,13.45,6.53,0.0455,0.0738,0.5655,,1
25,121.6,-1.464,0.632,-10.16,12.18,-0.7873,0.1376,0.1177,,0
26,132.2,-1.047,0.692,-1.66,13.33,-0.1807,0.1506,0.3074,,0
27,106.7,-1.359,0.503,-9.65,9.69,-0.498,0.1095,0.2885,,0
28,463.9,-1.754,0.354,37.67,6.81,0.1817,0.077,0.5617,,1
29,119.2,-0.364,0.716,11.63,13.78,-0.2533,0.1557,0.1466,,0
30,413.4,-0.965,0.376,4.72,7.24,0.1389,0.0818,0.6099,,1
31,47.6,-0.406,1.296,24.47,24.95,0.4827,0.282,0.0863,,0
32,45.9,-0.212,1.296,24.27,24.96,0.3237,0.2821,0.3195,,0
33,448.0,-0.672,0.287,7.92,5.52,0.3229,0.0624,0.6905,,1
34,33.0,-0.408,0.319,-19.92,6.14,-0.4727,0.0694,0.5572,,1
35,424.5,-0.496,0.326,1.09,6.27,0.1923,0.0709,0.572,,1
36,446.6,-1.222,0.219,8.51,4.21,0.1325,0.0476,0.7604,,1
37,138.4,0.648,0.649,-10.41,12.49,-0.5116,0.1411,0.6136,,1
38,102.4,-1.125,0.529,-9.61,10.18,-0.5189,0.1151,0.2858,,0
39,150.1,-1.845,0.688,-39.78,13.26,-0.1069,0.1498,0.0332,,0
40,108.6,-1.075,0.377,-6.11,7.26,-0.2989,0.082,0.515,,1
41,43.4,-0.811,0.381,-6.56,7.33,-0.5441,0.0828,0.5113,,1
42,44.7,1.139,1.224,-10.55,23.57,0.5783,0.2664,0.1498,,0
43,81.8,-0.459,0.647,-4.87,12.46,-0.4423,0.1408,0.4616,,1
44,435.6,-1.131,0.456,-14.27,8.78,0.0201,0.0993,0.437,,1
45,68.5,-0.724,0.586,-8.85,11.29,-0.5087,0.1276,0.2835,,0
46,54.0,-0.821,0.333,-4.71,6.42,-0.6901,0.0726,0.552,,1
47,406.9,-0.321,0.517,18.9,9.95,-0.113,0.1125,0.7039,,1
48,40.5,-0.518,0.317,-12.43,6.1,-0.4328,0.069,0.607,,1
49,111.0,-1.371,0.547,-14.22,10.54,-0.5408,0.1191,0.2471,,0
50,62.4,-0.668,0.318,-10.85,6.12,-0.4486,0.0692,0.6085,,1
51,33.0,-0.463,0.39,-13.44,7.5,-0.5263,0.0848,0.4557,,1
52,15.6,-1.686,0.34,5.79,6.55,-0.4282,0.0741,0.5566,,1
53,50.7,-0.627,0.315,-10.4,6.07,-0.4547,0.0686,0.6115,,1
