date,bperp_m,btemp_days,is_master,temp_C
20201217,0.0,887.6,1,-1.5
20180713,75.8,0.0,0,25.3
20180911,42.81,60.0,0,18.8
20181122,98.81,132.1,0,1.1
20190202,51.74,204.1,0,3.2
20190403,-16.65,264.2,0,5.2
20190614,67.85,336.2,0,19.7
20200116,-14.46,552.3,0,-1.7
20200328,-24.53,624.2,0,4.0
20200608,65.74,696.0,0,23.4
20201018,43.71,827.8,0,12.6
20201111,31.64,851.7,0,8.1
20201123,-13.82,863.7,0,1.7
20201205,-8.12,875.7,0,1.9
20201229,84.32,899.6,0,-2.6
20210227,32.88,959.7,0,5.9
20210721,12.86,1103.8,0,28.0
20210919,26.84,1163.8,0,21.6
20220210,-14.03,1307.9,0,0.9
20220423,-82.05,1379.9,0,16.8
20220704,-29.0,1452.0,0,26.0
20220914,-94.71,1524.0,0,22.9
20221207,16.57,1608.1,0,3.7
20230205,44.62,1668.1,0,0.8
20230418,83.79,1740.2,0,14.8
