idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,29.7,0.752,1.553,-0.68,24.53,-0.0774,0.202,0.4226,,1
1,28.7,1.67,1.156,-18.5,18.25,0.0521,0.1503,0.3682,,1
2,27.7,-0.884,1.29,-9.16,20.37,-0.0492,0.1677,0.2145,,0
3,26.7,-0.837,1.247,6.09,19.69,0.132,0.1621,0.2478,,0
4,25.7,-1.97,1.397,-9.82,22.06,-0.0477,0.1817,0.6522,,1
5,24.7,-1.759,1.101,4.94,17.39,-0.2533,0.1432,0.5224,,1
6,23.7,0.491,1.22,-22.43,19.26,0.2573,0.1586,0.4128,,1
7,24.9,-0.801,1.019,-47.12,16.09,0.1571,0.1324,0.4321,,1
8,29.1,-2.159,1.47,-21.64,23.21,-0.0304,0.1911,0.395,,1
9,20.9,-3.187,1.541,-36.19,24.33,0.0308,0.2003,0.0717,,0
10,16.8,-0.144,0.754,4.03,11.91,-0.0113,0.098,0.6516,,1
11,15.8,1.249,1.135,-10.93,17.93,-0.0247,0.1476,0.5592,,1
12,14.8,0.269,1.057,-4.43,16.69,-0.0292,0.1374,0.498,,1
13,13.8,-0.497,0.718,3.06,11.35,-0.0495,0.0934,0.7194,,1
14,12.8,-0.768,0.978,-6.66,15.45,0.0322,0.1272,0.5615,,1
15,11.8,-2.22,1.777,-37.78,28.07,0.0059,0.2311,0.0919,,0
16,10.8,-1.616,1.832,-6.89,28.93,-0.3043,0.2382,0.1818,,0
17,9.8,-2.391,1.377,-36.0,21.75,0.2922,0.1791,0.3328,,0
18,12.7,-1.174,1.076,-47.8,16.99,0.2139,0.1399,0.4783,,1
19,21.7,-1.702,0.987,-49.9,15.59,0.3294,0.1284,0.4024,,1
20,23.9,-2.296,1.327,7.95,20.96,-0.0858,0.1726,0.325,,0
21,12.8,-1.996,1.65,-31.34,26.06,0.1749,0.2145,0.287,,0
22,3.2,-3.235,1.684,-30.4,26.6,-0.3352,0.219,0.0816,,0
23,2.0,0.015,0.764,13.9,12.06,0.0893,0.0993,0.6469,,1
24,1.0,0.304,1.028,5.46,16.24,0.0443,0.1337,0.6658,,1
25,0.0,-2.958,1.168,25.97,18.44,-0.4802,0.1518,0.2276,,0
26,1.0,-0.547,1.044,1.6,16.49,0.1412,0.1358,0.4985,,1
27,2.0,-2.245,1.295,1.15,20.45,0.0084,0.1684,0.7222,,1
28,3.0,0.887,1.302,25.34,20.56,0.059,0.1693,0.4181,,1
29,4.0,-2.42,1.082,-15.64,17.09,0.0642,0.1407,0.5125,,1
30,9.3,-2.804,0.806,-33.96,12.73,0.1696,0.1048,0.5185,,1
31,20.0,-0.969,1.564,-34.21,24.7,0.5962,0.2034,0.2266,,0
32,26.2,-0.232,0.81,8.42,12.79,0.0328,0.1053,0.5326,,1
33,16.7,1.816,1.146,-1.39,18.09,0.0768,0.149,0.2597,,0
34,11.1,-2.847,1.564,-15.88,24.69,-0.1926,0.2033,0.1964,,0
35,11.8,-1.996,1.609,-31.61,25.42,-0.1706,0.2093,0.1097,,0
36,13.8,-0.781,1.07,25.28,16.9,-0.0424,0.1391,0.5741,,1
37,14.8,-3.357,1.148,-6.13,18.13,0.4003,0.1493,0.4344,,1
38,15.8,-1.831,1.401,-3.57,22.12,-0.0513,0.1821,0.535,,1
39,16.8,1.791,1.749,9.19,27.61,0.2822,0.2274,0.4791,,1
40,17.8,-2.58,1.37,-33.41,21.64,-0.0598,0.1782,0.2273,,0
41,20.0,-0.444,1.228,-24.33,19.39,0.0986,0.1596,0.3291,,0
42,26.7,-0.351,1.249,-62.97,19.72,0.1845,0.1624,0.346,,0
43,27.9,-3.172,0.8,1.19,12.63,0.0401,0.104,0.5513,,1
44,24.9,-3.244,1.544,-24.64,24.38,-0.2407,0.2008,0.3854,,1
45,25.7,-2.71,1.166,-18.91,18.41,0.0627,0.1516,0.42,,1
46,27.7,-0.045,1.292,-3.8,20.41,0.0852,0.168,0.2509,,0
47,28.7,-0.78,1.001,2.4,15.81,0.1344,0.1302,0.4637,,1
