idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,20.9,-1.031,0.241,32.49,4.02,0.1968,0.0497,0.526,,1
1,27.2,-0.205,0.364,33.99,6.09,0.0593,0.0752,0.2535,,0
2,59.5,1.256,0.572,59.61,9.57,0.5968,0.1181,0.2826,,0
3,57.9,-1.358,0.411,12.49,6.87,0.0015,0.0848,0.3082,,0
4,67.9,0.651,0.418,59.71,6.98,0.0994,0.0862,0.0736,,0
5,123.5,-1.512,0.851,25.14,14.22,0.0975,0.1755,0.05,,0
6,58.1,-0.149,0.213,57.82,3.56,0.0787,0.044,0.6547,,1
7,63.0,2.112,0.673,59.1,11.25,0.4109,0.1389,0.104,,0
8,18.0,-1.119,0.236,39.15,3.95,0.0898,0.0487,0.599,,1
9,63.6,1.331,0.821,52.64,13.72,0.6324,0.1693,0.1172,,0
10,64.4,-0.099,0.209,54.17,3.5,0.155,0.0432,0.6756,,1
11,74.3,0.074,0.235,48.93,3.92,0.0838,0.0484,0.6117,,1
12,65.8,1.239,0.627,52.65,10.47,0.6058,0.1293,0.1425,,0
13,75.7,1.731,0.613,64.52,10.24,0.4316,0.1264,0.1515,,0
14,53.1,1.367,0.579,54.41,9.68,0.6083,0.1195,0.228,,0
15,55.4,1.265,0.654,33.43,10.93,0.2869,0.135,0.1067,,0
16,61.6,1.072,0.35,53.71,5.86,0.185,0.0723,0.2559,,0
17,69.3,1.966,0.712,57.95,11.9,0.6116,0.1469,0.0902,,0
18,33.6,0.15,0.416,32.19,6.96,0.0957,0.0859,0.0997,,0
19,6.0,1.368,0.421,18.45,7.03,0.3968,0.0868,0.2998,,0
20,71.4,-0.512,0.405,36.9,6.76,0.1953,0.0835,0.2813,,0
21,63.8,-1.192,0.476,4.79,7.95,0.1525,0.0981,0.0803,,0
22,11.6,-0.681,0.197,35.8,3.29,0.0903,0.0406,0.7185,,1
23,48.2,-0.37,0.254,41.73,4.24,0.1451,0.0524,0.548,,1
24,27.9,-0.681,0.151,35.42,2.52,0.1163,0.0311,0.7959,,1
25,133.4,-0.926,0.855,26.13,14.29,0.0628,0.1764,0.1814,,0
26,84.2,-0.492,0.392,43.6,6.56,0.0832,0.0809,0.2024,,0
27,37.7,-0.64,0.162,35.49,2.71,0.0015,0.0335,0.7611,,1
28,13.5,0.782,0.554,33.51,9.27,0.3851,0.1144,0.378,,1
29,143.2,-0.609,0.893,11.16,14.92,-0.0888,0.1842,0.0864,,0
30,21.5,-0.488,0.171,32.26,2.87,0.1496,0.0354,0.7839,,1
31,43.2,0.786,0.644,47.66,10.76,0.3326,0.1328,0.155,,0
32,188.0,-0.001,0.423,38.95,7.07,0.0791,0.0872,0.5638,,1
33,77.8,-0.951,0.409,40.22,6.84,0.1372,0.0844,0.1607,,0
34,3.9,1.552,0.406,14.83,6.79,0.4023,0.0838,0.2782,,0
35,8.2,-0.844,0.206,27.59,3.44,-0.2155,0.0425,0.6631,,1
36,47.6,-0.598,0.246,39.92,4.12,0.0343,0.0508,0.5888,,1
37,130.2,2.609,0.51,26.41,8.53,0.3251,0.1053,0.2308,,0
38,108.9,2.591,0.652,9.43,10.89,0.639,0.1345,0.0243,,0
39,337.0,0.275,0.952,12.21,15.92,-0.0108,0.1965,0.1016,,0
40,93.1,1.933,0.706,-4.1,11.8,0.5934,0.1456,0.1481,,0
41,57.2,1.545,0.624,56.05,10.44,0.6164,0.1288,0.1584,,0
42,51.7,-2.16,0.247,52.13,4.13,0.1594,0.051,0.662,,1
43,15.9,2.45,0.426,10.37,7.12,0.5406,0.0879,0.138,,0
44,27.8,-0.813,0.233,23.86,3.89,-0.135,0.048,0.6622,,1
45,10.2,1.178,0.38,22.37,6.36,0.443,0.0785,0.2824,,0
46,3.7,0.948,0.558,36.46,9.32,0.4114,0.1151,0.4725,,1
47,327.1,0.158,1.045,14.27,17.47,-0.1634,0.2157,0.1835,,0
48,41.2,-0.568,0.319,32.08,5.33,0.0473,0.0658,0.3996,,1
49,41.3,0.554,0.553,51.57,9.24,0.3566,0.1141,0.3771,,1
50,11.0,-0.987,0.151,31.02,2.52,0.106,0.0311,0.7776,,1
51,14.5,-0.513,0.322,27.71,5.38,-0.0764,0.0664,0.4881,,1
52,2.5,1.556,0.376,13.5,6.29,0.4409,0.0777,0.2928,,0
53,68.5,-1.694,0.461,8.9,7.71,-0.2052,0.0952,0.246,,0
54,73.4,1.416,0.755,44.78,12.61,0.6023,0.1557,0.1064,,0
55,100.9,-2.175,0.801,52.32,13.38,-0.1546,0.1652,0.1112,,0
56,117.1,-1.549,0.864,45.89,14.45,-0.0264,0.1784,0.1366,,0
57,1.1,0.172,0.378,26.81,6.31,0.3768,0.0779,0.3127,,0
58,2.4,0.141,0.303,36.14,5.07,0.3881,0.0626,0.3945,,1
59,67.0,1.242,0.732,64.74,12.24,0.5717,0.1511,0.0101,,0
60,136.9,-0.493,0.771,26.44,12.88,0.0606,0.159,0.1659,,0
61,44.1,0.11,0.372,11.51,6.22,-0.2741,0.0768,0.3369,,0
62,107.3,-2.163,0.836,40.25,13.97,-0.0741,0.1725,0.1007,,0
63,47.7,1.724,0.519,48.71,8.67,0.2473,0.107,0.4738,,1
64,232.5,2.08,0.758,24.21,12.67,0.2901,0.1564,0.2549,,0
65,17.4,0.007,0.163,32.67,2.72,0.1921,0.0335,0.7466,,1
66,31.4,-0.536,0.146,32.95,2.44,0.0525,0.0301,0.7885,,1
67,49.6,0.226,0.565,61.07,9.45,0.5272,0.1167,0.2222,,0
68,32.1,1.84,0.412,10.64,6.89,0.5085,0.085,0.2564,,0
69,7.5,-0.879,0.16,36.93,2.68,0.2502,0.0331,0.7478,,1
70,41.8,0.501,0.264,34.08,4.41,0.0671,0.0544,0.5812,,1
71,47.6,-1.558,0.233,16.69,3.89,-0.1519,0.048,0.6728,,1
72,8.7,-0.628,0.341,35.03,5.71,0.2844,0.0704,0.1978,,0
73,25.0,0.418,0.42,41.72,7.01,0.0231,0.0866,0.1261,,0
74,0.4,1.413,0.392,16.72,6.56,0.3904,0.081,0.2507,,0
75,24.4,-0.551,0.211,37.56,3.53,0.1015,0.0435,0.7481,,1
76,29.8,1.425,0.551,40.26,9.22,0.2536,0.1138,0.3698,,1
77,9.0,1.168,0.702,32.86,11.73,0.1569,0.1448,0.1459,,0
78,5.3,-0.568,0.15,36.39,2.51,0.1545,0.0309,0.7753,,1
79,15.1,0.047,0.18,26.82,3.0,0.1009,0.0371,0.7152,,1
80,248.7,1.814,0.68,15.2,11.36,0.4604,0.1402,0.0257,,0
81,4.6,-0.396,0.144,27.97,2.41,0.052,0.0298,0.7962,,1
82,25.7,2.007,0.399,10.21,6.67,0.4111,0.0823,0.2616,,0
83,178.2,-0.915,0.408,41.66,6.82,0.1472,0.0842,0.3425,,0
84,12.4,2.084,0.568,24.29,9.5,0.4046,0.1172,0.1432,,0
85,4.0,-0.683,0.268,30.22,4.49,0.067,0.0554,0.5925,,1
86,56.0,0.893,0.631,53.58,10.54,0.4996,0.1302,0.3182,,0
87,43.8,-0.477,0.413,20.92,6.9,0.0619,0.0852,0.19,,0
88,6.2,0.733,0.518,36.84,8.66,0.3092,0.1069,0.4995,,1
89,333.5,0.962,1.055,0.53,17.63,-0.0857,0.2176,0.0773,,0
90,127.0,-0.754,0.786,22.65,13.14,0.0218,0.1622,0.1193,,0
91,13.9,-2.03,0.394,34.2,6.59,-0.0157,0.0814,0.3777,,1
92,343.4,-0.187,0.95,10.32,15.87,-0.0334,0.1959,0.0366,,0
93,31.5,0.123,0.584,49.26,9.76,0.1862,0.1205,0.0773,,0
94,60.1,1.766,0.605,57.45,10.12,0.4964,0.1249,0.2588,,0
95,83.9,1.496,0.596,41.13,9.95,0.4885,0.1229,0.0556,,0
96,150.8,-1.062,0.599,15.23,10.02,-0.1717,0.1237,0.5242,,1
97,42.0,2.066,0.425,13.53,7.11,0.2756,0.0877,0.264,,0
98,54.1,0.72,0.525,55.1,8.77,0.2601,0.1083,0.3232,,0
99,44.1,1.105,0.548,25.71,9.16,0.0558,0.1131,0.3768,,1
100,32.7,1.563,0.598,39.16,9.99,0.296,0.1233,0.3022,,0
101,2.7,1.165,0.56,34.63,9.36,0.4581,0.1155,0.4368,,1
102,146.4,2.859,0.49,28.57,8.18,0.2049,0.101,0.2858,,0
103,136.6,2.906,0.472,21.98,7.89,0.3032,0.0974,0.2504,,0
104,23.8,-0.549,0.19,40.09,3.17,0.2676,0.0391,0.6733,,1
105,67.6,1.904,0.604,40.27,10.1,0.7432,0.1247,0.1491,,0
106,320.7,-0.258,1.096,17.65,18.32,0.0578,0.2262,0.1232,,0
107,19.9,0.43,0.575,43.91,9.61,0.4088,0.1186,0.3774,,1
108,116.0,-1.396,0.452,0.58,7.55,-0.2476,0.0932,0.5331,,1
109,314.4,0.13,1.015,7.6,16.96,-0.047,0.2094,0.0747,,0
110,330.6,0.466,0.949,9.84,15.86,0.0055,0.1958,0.0776,,0
111,262.2,-1.862,0.656,21.96,10.96,-0.1014,0.1353,0.489,,1
112,346.9,0.471,0.994,5.09,16.61,-0.1148,0.2051,0.1188,,0
113,134.6,-0.528,0.633,19.23,10.59,-0.3039,0.1307,0.2916,,0
114,149.9,2.937,0.619,33.07,10.35,0.0664,0.1278,0.1152,,0
115,11.6,-1.427,0.201,23.24,3.37,-0.0289,0.0416,0.642,,1
116,12.2,-0.209,0.179,32.36,2.99,0.0944,0.037,0.7917,,1
117,36.1,0.603,0.598,36.26,10.0,0.3593,0.1234,0.4522,,1
118,261.0,-1.593,0.833,-12.83,13.93,-0.3925,0.1719,0.0788,,0
119,353.2,0.104,1.052,16.29,17.59,0.0019,0.2171,0.1678,,0
120,167.5,1.907,0.689,36.07,11.51,0.5517,0.1421,0.1219,,0
121,37.7,-1.096,0.255,25.57,4.27,-0.0597,0.0527,0.6164,,1
122,66.4,1.242,0.639,54.75,10.69,0.4355,0.1319,0.1564,,0
123,158.4,-0.36,0.293,37.64,4.9,0.1135,0.0604,0.6459,,1
124,22.3,2.042,0.38,8.07,6.35,0.4305,0.0784,0.2648,,0
125,166.2,2.436,0.734,20.18,12.26,0.1781,0.1514,0.0983,,0
126,59.6,2.144,0.601,12.9,10.04,0.6937,0.124,0.0182,,0
127,175.0,0.728,1.04,28.48,17.38,0.7882,0.2145,0.0581,,0
128,69.9,1.861,0.711,59.99,11.89,0.5079,0.1468,0.1643,,0
129,6.7,1.233,0.475,18.36,7.94,0.4235,0.098,0.188,,0
130,115.3,2.128,0.768,4.68,12.83,0.5574,0.1584,0.1524,,0
131,168.3,-0.709,0.504,31.01,8.43,0.1899,0.1041,0.1677,,0
132,58.3,0.469,0.659,37.55,11.01,-0.0042,0.1359,0.1127,,0
133,301.6,-0.313,0.968,26.33,16.18,0.0068,0.1997,0.1211,,0
134,107.6,2.703,0.689,19.68,11.52,0.2724,0.1423,0.1489,,0
135,84.5,2.251,0.584,46.65,9.77,0.6944,0.1206,0.1241,,0
136,59.0,2.259,0.496,31.27,8.3,0.3872,0.1024,0.2249,,0
137,1.7,-0.784,0.165,29.86,2.75,-0.1468,0.034,0.7826,,1
138,53.9,-1.388,0.228,16.67,3.82,-0.1457,0.0471,0.6867,,1
139,48.4,1.345,0.61,51.04,10.19,0.226,0.1258,0.1807,,0
140,53.7,1.941,0.62,53.72,10.37,0.5835,0.128,0.2881,,0
141,272.1,-1.302,0.646,25.38,10.8,-0.1709,0.1333,0.4713,,1
142,197.9,0.164,0.379,40.37,6.34,0.1113,0.0782,0.5761,,1
143,34.3,-0.807,0.157,31.76,2.62,0.0673,0.0323,0.7639,,1
144,54.6,-0.727,0.271,46.11,4.53,0.0717,0.0559,0.5488,,1
145,140.1,2.373,0.63,37.0,10.53,0.1553,0.13,0.1122,,0
146,34.8,-0.397,0.22,36.79,3.68,0.0254,0.0454,0.6997,,1
147,37.8,0.65,0.573,56.65,9.58,0.3231,0.1182,0.2909,,0
148,140.8,1.58,0.718,32.67,12.01,0.632,0.1482,0.1273,,0
149,144.4,-0.504,0.642,20.82,10.73,-0.3219,0.1325,0.4722,,1
150,304.5,-0.355,1.021,23.57,17.07,-0.0265,0.2107,0.0876,,0
151,72.2,1.807,0.636,69.48,10.62,0.4551,0.1311,0.101,,0
152,54.0,-0.492,0.33,43.42,5.52,0.1288,0.0682,0.4173,,1
153,128.2,-0.435,0.574,19.46,9.59,-0.2235,0.1183,0.5262,,1
154,75.2,2.319,0.642,24.75,10.73,0.5163,0.1325,0.0204,,0
155,340.5,0.484,0.997,2.03,16.66,0.0597,0.2057,0.1555,,0
156,83.7,-2.507,0.507,12.92,8.48,-0.1054,0.1047,0.2681,,0
157,324.2,-0.094,0.998,16.0,16.67,0.0116,0.2058,0.0808,,0
158,284.0,1.783,1.102,50.23,18.43,0.1473,0.2275,0.0738,,0
159,113.9,3.373,0.501,25.54,8.37,0.2651,0.1033,0.1835,,0
160,50.5,-1.068,0.306,22.25,5.11,-0.0924,0.0631,0.5793,,1
161,126.7,3.653,0.535,1.63,8.94,0.2978,0.1103,0.1723,,0
162,56.6,2.278,0.608,51.44,10.17,0.3473,0.1255,0.2367,,0
163,202.9,2.339,0.743,31.82,12.43,0.454,0.1534,0.0723,,0
164,38.3,-0.437,0.207,34.72,3.47,0.0613,0.0428,0.6888,,1
