date,bperp_m,btemp_days,is_master,temp_C
20220330,0.0,1379.9,1,9.8
20180619,-41.23,0.0,0,20.4
20180806,-54.7,48.0,0,29.1
20180923,3.88,96.1,0,16.8
20181110,21.32,144.1,0,8.3
20181228,-92.58,192.1,0,-9.6
20190214,-35.33,240.2,0,-1.5
20190403,-51.67,288.2,0,5.9
20190521,-20.89,336.2,0,15.7
20190825,-140.16,432.3,0,23.2
20191012,30.47,480.3,0,15.1
20191129,-13.33,528.4,0,-0.8
20200116,-55.94,576.4,0,-3.4
20200304,-56.85,624.3,0,0.1
20200421,-37.25,672.2,0,6.6
20200714,-39.55,756.0,0,19.0
20200831,-65.39,803.9,0,26.0
20201018,8.4,851.8,0,12.7
20201205,-51.37,899.7,0,0.5
20210122,33.8,947.6,0,4.6
20210311,-5.49,995.7,0,8.1
20210428,66.23,1043.7,0,12.9
20210721,-32.86,1127.8,0,28.9
20210907,-26.38,1175.8,0,20.2
20211025,-84.11,1223.8,0,9.5
20211212,-80.16,1271.9,0,-2.5
20220129,44.31,1319.9,0,-4.8
20220610,-151.52,1452.0,0,20.9
20220809,-108.22,1512.0,0,22.4
20220926,70.14,1560.1,0,17.4
20221125,-128.66,1620.1,0,10.5
20230112,104.09,1668.1,0,5.0
20230301,-86.9,1716.2,0,2.8
20230418,39.49,1764.2,0,12.9
20230723,-117.8,1860.3,0,24.7
20230909,-189.15,1908.3,0,23.5
20231027,33.31,1956.3,0,12.5
20231214,-40.5,2004.4,0,6.1
20240131,-71.36,2052.3,0,1.2
20240319,-114.71,2100.2,0,4.8
20240530,61.09,2172.1,0,19.3
20240810,70.92,2243.9,0,28.4
20240927,-56.1,2291.8,0,21.3
20241126,79.36,2351.7,0,3.6
20250125,52.49,2411.7,0,3.0
20250314,-44.0,2459.7,0,10.8
20250513,104.81,2519.7,0,18.1
20250805,72.09,2603.8,0,27.5
20250922,-8.05,2651.8,0,20.3
20251109,-16.22,2699.8,0,10.5
20251227,60.39,2747.9,0,-1.5
