idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
0,510.1,-3.129,0.795,-174.92,14.68,-1.0295,0.1732,0.0763,,0
1,470.7,-2.762,0.781,-154.21,14.43,-1.0284,0.1702,0.0487,,0
2,506.4,-2.478,0.716,-175.08,13.24,-0.7045,0.1562,0.1286,,0
3,474.3,-2.691,0.713,-172.78,13.18,-1.0432,0.1555,0.2705,,0
4,499.5,-2.539,0.655,-174.96,12.1,-0.8842,0.1427,0.1598,,0
5,495.7,-2.624,0.63,-174.14,11.64,-0.8156,0.1373,0.1107,,0
6,488.8,-2.745,0.642,-167.56,11.86,-0.8767,0.1399,0.1308,,0
7,503.6,-3.356,0.954,-161.19,17.63,-0.8792,0.2079,0.1522,,0
8,485.0,-2.884,0.654,-167.9,12.09,-0.9058,0.1426,0.0713,,0
9,478.3,-3.09,0.727,-160.24,13.44,-0.8356,0.1585,0.2332,,0
10,493.1,-2.669,0.648,-167.73,11.98,-0.8431,0.1412,0.1257,,0
11,503.0,-2.381,0.762,-172.15,14.09,-0.5802,0.1662,0.307,,0
12,542.6,-2.565,0.713,-157.88,13.18,-0.7283,0.1554,0.0743,,0
13,263.5,-1.467,1.029,-115.41,19.02,-0.9788,0.2243,0.1302,,0
14,492.2,-3.159,0.665,-168.81,12.3,-0.8396,0.145,0.119,,0
15,534.8,-2.915,0.756,-168.69,13.98,-0.7485,0.1649,0.0806,,0
16,260.7,-1.32,1.019,-112.75,18.84,-0.8566,0.2222,0.186,,0
17,481.4,-1.654,0.65,-164.66,12.01,-0.8098,0.1417,0.164,,0
18,472.1,-2.819,0.841,-153.07,15.54,-1.0193,0.1832,0.1264,,0
19,33.0,-1.771,1.329,-78.98,24.56,-1.5092,0.2896,0.0848,,0
20,267.0,-1.201,1.041,-128.04,19.24,-0.9471,0.2269,0.1093,,0
21,482.6,-2.642,0.686,-168.97,12.69,-0.859,0.1496,0.0813,,0
22,497.7,-2.121,0.838,-180.12,15.48,-0.8532,0.1826,0.1556,,0
23,487.3,-1.263,0.664,-174.73,12.28,-1.015,0.1448,0.2197,,0
24,507.6,-2.475,0.676,-151.03,12.49,-0.9448,0.1473,0.1769,,0
25,508.1,-3.625,1.016,-169.8,18.78,-0.9255,0.2215,0.1227,,0
26,505.1,-4.418,1.24,-72.86,22.92,-0.8645,0.2703,0.0683,,0
27,281.4,-0.928,0.842,-140.65,15.56,-0.9799,0.1836,0.258,,0
28,93.4,-5.168,1.256,31.7,23.21,-0.68,0.2737,0.1058,,0
29,291.6,-1.419,0.806,-142.8,14.9,-0.9044,0.1757,0.2434,,0
30,110.6,-4.494,1.295,28.72,23.93,-0.7283,0.2822,0.1117,,0
31,24.1,-1.756,1.235,-61.9,22.82,-1.4085,0.2692,0.148,,0
32,508.9,-2.308,0.757,-167.21,13.99,-1.0024,0.165,0.1992,,0
33,467.7,-3.287,0.735,-176.67,13.58,-0.7916,0.1602,0.0446,,0
34,577.9,-3.589,0.903,-154.1,16.69,-0.5775,0.1969,0.1391,,0
35,495.5,-4.327,1.149,-67.78,21.24,-1.4076,0.2505,0.0788,,0
36,509.9,-2.337,1.319,49.35,24.37,-1.2387,0.2874,0.0932,,0
37,130.8,0.129,0.786,48.56,14.52,-0.0089,0.1713,0.1387,,0
38,504.9,-1.44,1.353,31.01,25.01,-1.3048,0.2949,0.0867,,0
39,516.2,-1.441,1.347,30.98,24.9,-1.3049,0.2937,0.0838,,0
40,496.8,-3.643,1.239,-81.5,22.9,-1.0423,0.2701,0.0989,,0
41,84.5,-4.637,1.373,19.71,25.38,-0.78,0.2993,0.1705,,0
42,158.7,-2.562,1.109,-75.76,20.5,-1.747,0.2418,0.1137,,0
43,515.9,-1.927,0.629,-157.25,11.62,-0.9958,0.1371,0.2087,,0
44,448.7,-1.982,0.702,-161.4,12.97,-1.0918,0.1529,0.1786,,0
45,90.9,-1.489,1.117,-48.56,20.64,-1.4033,0.2434,0.0739,,0
46,496.2,-4.763,1.277,-93.41,23.59,-1.263,0.2782,0.2174,,0
47,280.6,-2.76,0.9,-128.88,16.63,-0.6863,0.1961,0.1049,,0
48,297.4,-1.511,0.81,-144.55,14.96,-0.887,0.1765,0.2314,,0
49,456.3,-2.633,0.642,-157.12,11.87,-1.0437,0.14,0.1826,,0
50,85.1,-4.766,1.316,25.54,24.33,-0.6864,0.2869,0.1761,,0
51,499.3,-1.573,0.677,-157.93,12.51,-0.9235,0.1475,0.1596,,0
52,154.3,-2.482,1.121,-72.81,20.71,-1.68,0.2443,0.0956,,0
53,38.3,-1.582,1.222,-59.9,22.59,-1.4504,0.2664,0.1224,,0
54,101.6,-4.344,1.417,14.94,26.19,-0.6939,0.3088,0.2395,,0
55,274.3,-2.326,0.742,-127.04,13.71,-0.6919,0.1616,0.2359,,0
56,102.3,-4.006,1.3,31.73,24.02,-0.6264,0.2833,0.2307,,0
57,527.6,-1.687,1.458,51.81,26.94,-1.2571,0.3178,0.1484,,0
58,282.6,-1.842,0.806,-138.2,14.9,-0.7942,0.1757,0.0783,,0
59,106.8,1.536,0.813,37.72,15.02,-0.4017,0.1772,0.0174,,0
60,498.4,-1.154,0.878,-150.23,16.22,-0.9666,0.1913,0.1189,,0
61,516.9,-1.942,0.62,-150.19,11.45,-1.0783,0.135,0.154,,0
62,574.3,-3.497,0.881,-145.27,16.28,-0.4123,0.192,0.0419,,0
63,118.8,-5.293,1.381,35.58,25.52,-0.722,0.301,0.1267,,0
64,271.6,-0.969,0.976,-130.12,18.04,-0.9639,0.2128,0.0301,,0
65,525.1,-1.773,0.659,-155.48,12.18,-0.9957,0.1437,0.1612,,0
66,503.7,-5.629,1.306,-81.97,24.13,-1.1649,0.2846,0.0935,,0
67,76.2,-4.795,1.343,17.33,24.82,-0.7586,0.2927,0.1492,,0
68,75.5,-4.533,1.425,11.81,26.33,-0.7004,0.3106,0.0891,,0
69,451.3,-2.062,0.649,-174.48,11.99,-0.9136,0.1414,0.1248,,0
70,521.4,-2.334,1.295,48.38,23.93,-1.2363,0.2822,0.0404,,0
71,535.6,-2.179,0.693,-161.04,12.81,-0.7727,0.1511,0.1572,,0
72,119.8,-0.426,0.766,51.48,14.16,0.0767,0.167,0.212,,0
73,286.3,-3.093,0.882,-152.18,16.31,-0.9989,0.1923,0.1567,,0
74,524.3,-2.049,0.63,-157.57,11.64,-0.9909,0.1373,0.1753,,0
75,542.0,-1.283,0.735,-163.3,13.59,-0.8365,0.1603,0.1097,,0
76,533.4,-1.835,0.654,-153.21,12.09,-0.9937,0.1426,0.1687,,0
77,498.4,-1.993,1.283,46.31,23.72,-1.1335,0.2797,0.0349,,0
78,431.9,-1.547,0.691,-158.67,12.78,-1.0716,0.1507,0.163,,0
79,446.0,-2.787,0.617,-169.6,11.4,-0.8819,0.1345,0.1176,,0
80,503.7,-2.371,1.298,42.69,24.0,-1.2619,0.283,0.1794,,0
81,545.5,-2.06,0.728,-165.14,13.45,-0.8169,0.1586,0.1921,,0
82,456.3,-1.737,0.88,-157.93,16.26,-0.8188,0.1918,0.2226,,0
83,24.7,-1.984,1.344,-68.51,24.84,-1.4883,0.293,0.1497,,0
84,122.0,-0.377,0.739,50.11,13.66,0.0464,0.1611,0.0844,,0
85,287.4,-1.635,0.864,-152.78,15.97,-0.8278,0.1883,0.1465,,0
86,173.8,-1.168,0.89,1.66,16.45,-0.1441,0.194,0.1527,,0
87,581.8,-3.811,0.999,-153.84,18.46,-0.4794,0.2177,0.1191,,0
88,130.2,-0.031,0.845,50.46,15.61,0.2569,0.1841,0.1583,,0
89,163.8,-3.002,1.022,-76.63,18.88,-1.6816,0.2227,0.2019,,0
90,529.5,-1.793,0.716,-168.15,13.22,-0.6408,0.156,0.1294,,0
91,551.8,-2.597,0.708,-153.72,13.09,-0.6853,0.1543,0.0467,,0
92,439.3,-4.064,0.653,-158.53,12.06,-1.0135,0.1422,0.1756,,0
93,490.0,-1.632,0.692,-164.33,12.8,-0.9512,0.1509,0.1731,,0
94,92.7,-4.713,1.339,17.61,24.74,-0.8534,0.2918,0.0876,,0
95,481.2,-1.168,1.088,51.4,20.11,-1.6512,0.2371,0.2239,,0
96,94.1,1.677,0.806,38.89,14.9,-0.4014,0.1757,0.0556,,0
97,119.1,-0.468,0.729,37.81,13.47,-0.0164,0.1589,0.0997,,0
98,544.0,-3.161,0.733,-155.75,13.56,-0.7669,0.1599,0.069,,0
99,770.8,-1.738,1.153,75.33,21.32,-1.0539,0.2514,0.1066,,0
100,103.0,1.329,0.974,41.92,17.99,-0.2395,0.2122,0.1292,,0
101,23.4,-2.097,1.276,-64.7,23.58,-1.4434,0.2781,0.2189,,0
102,532.2,-2.777,0.793,-147.02,14.66,-0.8403,0.1729,0.1715,,0
103,141.8,0.853,0.795,42.34,14.69,0.1396,0.1732,0.0601,,0
104,293.5,-1.8,0.825,-152.38,15.25,-0.8218,0.1799,0.1759,,0
105,539.5,-2.229,0.682,-162.84,12.6,-0.805,0.1486,0.1844,,0
106,520.2,-4.878,1.368,-84.07,25.28,-1.3209,0.2981,0.0389,,0
107,515.4,-3.37,1.381,45.89,25.52,-1.2928,0.301,0.1291,,0
108,446.6,-2.567,0.645,-173.87,11.92,-0.8825,0.1406,0.1198,,0
109,296.7,-1.058,0.774,-147.32,14.3,-0.9432,0.1687,0.2716,,0
110,67.3,-4.886,1.316,9.49,24.31,-0.6414,0.2867,0.214,,0
111,111.6,-1.665,0.976,-77.75,18.03,-1.6238,0.2126,0.1447,,0
112,483.4,-1.547,1.366,67.4,25.25,-1.4572,0.2978,0.094,,0
113,547.7,-3.26,1.4,-85.22,25.87,-0.9501,0.3051,0.0797,,0
114,132.9,0.331,0.849,47.81,15.68,0.0586,0.185,0.1515,,0
115,467.4,-1.335,0.799,-155.27,14.76,-0.7407,0.1741,0.1861,,0
116,445.3,-1.795,0.862,-149.45,15.93,-0.8137,0.1879,0.2047,,0
117,549.6,-2.497,0.641,-172.87,11.85,-0.7515,0.1398,0.0227,,0
118,161.6,-1.878,0.941,13.31,17.4,-0.1434,0.2052,0.2074,,0
119,506.9,-2.064,0.661,-152.89,12.21,-1.0049,0.144,0.1015,,0
120,32.3,-3.226,1.309,-59.11,24.19,-1.3149,0.2852,0.142,,0
121,464.2,-2.401,0.621,-157.71,11.47,-1.0302,0.1353,0.1702,,0
122,447.1,-3.027,0.672,-163.72,12.41,-1.1327,0.1464,0.2063,,0
123,434.1,-1.393,0.861,-146.84,15.92,-1.0226,0.1877,0.119,,0
124,522.5,-2.538,0.922,-179.62,17.03,-1.0802,0.2009,0.1181,,0
125,99.5,-0.191,0.838,43.32,15.49,-0.3965,0.1827,0.0754,,0
126,20.9,1.055,0.831,37.65,15.36,-0.2882,0.1811,0.1021,,0
127,445.2,-1.873,0.874,-154.4,16.15,-0.8306,0.1905,0.0998,,0
128,457.1,-2.893,0.619,-162.3,11.45,-0.9928,0.135,0.1877,,0
129,487.9,-4.178,1.084,-82.31,20.03,-1.1786,0.2362,0.1902,,0
130,41.2,-3.0,1.257,-50.75,23.23,-1.6514,0.274,0.1677,,0
